sample,group,replicate,timepoint
By273_ctrl_day1_1,BY273.ctrl,BY_C_1,1
By273_ctrl_day1_2,BY273.ctrl,BY_C_2,1
By273_ctrl_day1_3,BY273.ctrl,BY_C_3,1
By273_ctrl_day3_1,BY273.ctrl,BY_C_1,3
By273_ctrl_day3_2,BY273.ctrl,BY_C_2,3
By273_ctrl_day3_3,BY273.ctrl,BY_C_3,3
By273_ctrl_day6_1,BY273.ctrl,BY_C_1,6
By273_ctrl_day6_2,BY273.ctrl,BY_C_2,6
By273_ctrl_day6_3,BY273.ctrl,BY_C_3,6
BY273_krill_day1_1,BY273.krill,BY_K_1,1
BY273_krill_day1_2,BY273.krill,BY_K_2,1
BY273_krill_day1_3,BY273.krill,BY_K_3,1
BY273_krill_day3_1,BY273.krill,BY_K_1,3
BY273_krill_day3_2,BY273.krill,BY_K_2,3
BY273_krill_day3_3,BY273.krill,BY_K_3,3
BY273_krill_day6_1,BY273.krill,BY_K_1,6
BY273_krill_day6_2,BY273.krill,BY_K_2,6
BY273_krill_day6_3,BY273.krill,BY_K_3,6
N2_ctrl_day1_1,N2.ctrl,N2_C_1,1
N2_ctrl_day1_2,N2.ctrl,N2_C_2,1
N2_ctrl_day1_3,N2.ctrl,N2_C_3,1
N2_ctrl_day3_1,N2.ctrl,N2_C_1,3
N2_ctrl_day3_2,N2.ctrl,N2_C_2,3
N2_ctrl_day3_3,N2.ctrl,N2_C_3,3
N2_ctrl_day6_1,N2.ctrl,N2_C_1,6
N2_ctrl_day6_2,N2.ctrl,N2_C_2,6
N2_ctrl_day6_3,N2.ctrl,N2_C_3,6
N2_Krill_day1_1,N2.krill,N2_K_1,1
N2_Krill_day1_2,N2.krill,N2_K_2,1
N2_Krill_day1_3,N2.krill,N2_K_3,1
N2_Krill_day3_1,N2.krill,N2_K_1,3
N2_Krill_day3_2,N2.krill,N2_K_2,3
N2_Krill_day3_3,N2.krill,N2_K_3,3
N2_Krill_day6_1,N2.krill,N2_K_1,6
N2_Krill_day6_2,N2.krill,N2_K_2,6
N2_Krill_day6_3,N2.krill,N2_K_3,6
