gene_id,Satrom-mRNA-24hT_ATCACG_L002_001
0610005C13Rik,18
0610006L08Rik,0
0610007P14Rik,4413
0610009B22Rik,496
0610009E02Rik,5
0610009L18Rik,22
0610009O20Rik,1518
0610010B08Rik,1
0610010F05Rik,3539
0610010K14Rik,0
0610011F06Rik,883
0610012G03Rik,814
0610025J13Rik,0
0610030E20Rik,1
0610031O16Rik,0
0610037L13Rik,940
0610038B21Rik,0
0610039H22Rik,20
0610039K10Rik,40
0610040B10Rik,46
0610040F04Rik,2
0610040J01Rik,0
0610043K17Rik,0
1010001N08Rik,0
1100001I12Rik,0
1110001J03Rik,502
1110002J07Rik,86
1110002L01Rik,349
1110002O04Rik,0
1110004E09Rik,2480
1110004F10Rik,6857
1110006O24Rik,18
1110007C09Rik,172
1110008F13Rik,1894
1110008L16Rik,1378
1110008P14Rik,178
1110012L19Rik,228
1110015O18Rik,0
1110017D15Rik,2
1110018N20Rik,237
1110019D14Rik,67
1110020A21Rik,9
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,0
1110032A03Rik,115
1110032F04Rik,0
1110034G24Rik,112
1110036E04Rik,17
1110037F02Rik,6903
1110038B12Rik,0
1110038F14Rik,811
1110046J04Rik,6
1110051M20Rik,903
1110054M08Rik,1
1110057K04Rik,2152
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,144
1110059E24Rik,2581
1110059G10Rik,557
1110065P20Rik,162
1190002F15Rik,713
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,70
1190007I07Rik,440
1190028D05Rik,0
1200014J11Rik,5
1300002E11Rik,387
1300017J02Rik,4
1500002F19Rik,1
1500004A13Rik,134
1500009C09Rik,2
1500009L16Rik,49
1500011B03Rik,419
1500011K16Rik,187
1500012F01Rik,3736
1500012K07Rik,0
1500015A07Rik,150
1500015L24Rik,0
1500015O10Rik,1
1500017E21Rik,0
1500026H17Rik,0
1500035N22Rik,0
1520401A03Rik,7
1600002D24Rik,0
1600002H07Rik,499
1600002K03Rik,449
1600010M07Rik,0
1600012H06Rik,365
1600014C10Rik,404
1600014C23Rik,0
1600014K23Rik,0
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,110
1600023N17Rik,7
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,0
1600029O15Rik,2
1700001C02Rik,0
1700001C19Rik,1
1700001D01Rik,1
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,30
1700001G17Rik,11
1700001J03Rik,1
1700001J11Rik,0
1700001K19Rik,14
1700001K23Rik,2
1700001L05Rik,74
1700001L19Rik,0
1700001O22Rik,0
1700001P01Rik,6
1700003C15Rik,0
1700003D09Rik,0
1700003E16Rik,5
1700003E24Rik,0
1700003F12Rik,4
1700003G13Rik,0
1700003G18Rik,2
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,1
1700003M07Rik,0
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,0
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,2
1700007F19Rik,0
1700007G11Rik,0
1700007J10Rik,0
1700007K09Rik,3
1700007K13Rik,0
1700007L15Rik,135
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,0
1700008I05Rik,0
1700008J07Rik,44
1700008K24Rik,0
1700008O03Rik,21
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,0
1700010D01Rik,0
1700010H22Rik,14
1700010I02Rik,0
1700010I14Rik,22
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,0
1700010N08Rik,0
1700011A15Rik,0
1700011B04Rik,0
1700011C11Rik,0
1700011E24Rik,1
1700011H14Rik,10
1700011I03Rik,0
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,0
1700012B09Rik,0
1700012C14Rik,0
1700012D01Rik,17
1700012D14Rik,9
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,0
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,0
1700013G24Rik,1
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,0
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,2
1700016C19Rik,0
1700016D06Rik,0
1700016G14Rik,0
1700016G22Rik,2
1700016H13Rik,0
1700016J18Rik,4
1700016K19Rik,14
