gene_id,Satrom-mRNA-2hC_TAGCTT_L002_001
0610005C13Rik,42
0610006L08Rik,0
0610007P14Rik,3559
0610009B22Rik,787
0610009E02Rik,19
0610009L18Rik,25
0610009O20Rik,1648
0610010B08Rik,0
0610010F05Rik,4401
0610010K14Rik,0
0610011F06Rik,785
0610012G03Rik,1183
0610025J13Rik,0
0610030E20Rik,0
0610031O16Rik,0
0610037L13Rik,1569
0610038B21Rik,0
0610039H22Rik,118
0610039K10Rik,48
0610040B10Rik,106
0610040F04Rik,12
0610040J01Rik,0
0610043K17Rik,0
1010001N08Rik,3
1100001I12Rik,0
1110001J03Rik,542
1110002J07Rik,85
1110002L01Rik,196
1110002O04Rik,0
1110004E09Rik,2294
1110004F10Rik,6237
1110006O24Rik,22
1110007C09Rik,361
1110008F13Rik,1971
1110008L16Rik,1567
1110008P14Rik,248
1110012L19Rik,478
1110015O18Rik,0
1110017D15Rik,2
1110018N20Rik,375
1110019D14Rik,34
1110020A21Rik,10
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,2
1110032A03Rik,261
1110032F04Rik,0
1110034G24Rik,270
1110036E04Rik,2
1110037F02Rik,9582
1110038B12Rik,0
1110038F14Rik,1815
1110046J04Rik,6
1110051M20Rik,1570
1110054M08Rik,0
1110057K04Rik,3137
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,396
1110059E24Rik,2037
1110059G10Rik,950
1110065P20Rik,234
1190002F15Rik,467
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,75
1190007I07Rik,590
1190028D05Rik,0
1200014J11Rik,8
1300002E11Rik,856
1300017J02Rik,10
1500002F19Rik,6
1500004A13Rik,314
1500009C09Rik,2
1500009L16Rik,26
1500011B03Rik,662
1500011K16Rik,319
1500012F01Rik,4757
1500012K07Rik,0
1500015A07Rik,250
1500015L24Rik,0
1500015O10Rik,5
1500017E21Rik,0
1500026H17Rik,0
1500035N22Rik,0
1520401A03Rik,27
1600002D24Rik,7
1600002H07Rik,1068
1600002K03Rik,430
1600010M07Rik,13
1600012H06Rik,555
1600014C10Rik,870
1600014C23Rik,0
1600014K23Rik,0
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,297
1600023N17Rik,18
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,0
1600029O15Rik,4
1700001C02Rik,0
1700001C19Rik,0
1700001D01Rik,1
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,71
1700001G17Rik,12
1700001J03Rik,1
1700001J11Rik,0
1700001K19Rik,44
1700001K23Rik,2
1700001L05Rik,199
1700001L19Rik,0
1700001O22Rik,2
1700001P01Rik,5
1700003C15Rik,0
1700003D09Rik,1
1700003E16Rik,28
1700003E24Rik,0
1700003F12Rik,18
1700003G13Rik,0
1700003G18Rik,0
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,0
1700003M07Rik,2
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,0
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,0
1700007F19Rik,0
1700007G11Rik,1
1700007J10Rik,0
1700007K09Rik,5
1700007K13Rik,2
1700007L15Rik,298
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,2
1700008I05Rik,4
1700008J07Rik,38
1700008K24Rik,0
1700008O03Rik,45
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,2
1700010D01Rik,0
1700010H22Rik,16
1700010I02Rik,0
1700010I14Rik,45
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,0
1700010N08Rik,2
1700011A15Rik,0
1700011B04Rik,4
1700011C11Rik,0
1700011E24Rik,5
1700011H14Rik,5
1700011I03Rik,0
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,0
1700012B09Rik,0
1700012C14Rik,0
1700012D01Rik,30
1700012D14Rik,22
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,0
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,55
1700013G24Rik,0
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,0
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,0
1700016C19Rik,0
1700016D06Rik,0
1700016G14Rik,33
1700016G22Rik,9
1700016H13Rik,0
1700016J18Rik,5
1700016K19Rik,57
1700016L04Rik,0
1700016L21Rik,0
1700016P04Rik,0
1700017B05Rik,6759
1700017D01Rik,0
1700017G19Rik,0
1700017J07Rik,0
1700017L05Rik,0
1700017M07Rik,3
1700017N19Rik,0
1700018A04Rik,0
1700018A23Rik,2
1700018B08Rik,2
1700018B24Rik,0
1700018C11Rik,0
1700018F24Rik,0
1700018G05Rik,0
1700018L02Rik,2
1700019A02Rik,2
1700019B03Rik,0
1700019B21Rik,0
1700019C18Rik,0
1700019D03Rik,571
1700019E08Rik,0
1700019F05Rik,0
1700019G17Rik,25
1700019G24Rik,0
1700019J19Rik,4
1700019L03Rik,60
1700019L22Rik,0
1700019M22Rik,0
1700019N19Rik,26
1700019O17Rik,0
1700019P21Rik,0
1700020A23Rik,26
1700020D05Rik,6
1700020D12Rik,0
1700020D14Rik,0
1700020G17Rik,0
1700020I14Rik,3400
1700020L24Rik,11
1700020M21Rik,0
1700020N01Rik,0
1700020N15Rik,0
1700020N18Rik,0
1700021F02Rik,0
1700021F05Rik,1778
1700021F07Rik,0
1700021G15Rik,0
1700021K19Rik,2740
1700021L23Rik,0
1700021N21Rik,0
1700022A21Rik,0
1700022A22Rik,0
1700022E09Rik,0
1700022H01Rik,9
1700022H16Rik,0
1700022I11Rik,5
1700022N22Rik,62
1700023C21Rik,0
1700023E05Rik,1
1700023F02Rik,0
1700023F06Rik,0
1700023G09Rik,2
1700023L04Rik,28
1700024B05Rik,0
1700024B18Rik,0
1700024F13Rik,33
1700024G13Rik,0
1700024I08Rik,0
1700024N05Rik,0
1700024P04Rik,0
1700024P16Rik,0
1700025B11Rik,0
1700025C18Rik,0
1700025D23Rik,0
1700025F22Rik,0
1700025F24Rik,0
1700025G04Rik,12
1700025J12Rik,0
1700025K24Rik,0
1700025M24Rik,0
1700025N23Rik,0
1700026D08Rik,2
1700026D11Rik,0
1700026F02Rik,0
1700026J12Rik,2
1700026J14Rik,2
1700026L06Rik,170
1700027A15Rik,0
1700027F06Rik,0
1700027F09Rik,0
1700027H10Rik,0
1700027I24Rik,0
1700027J07Rik,347
1700028B04Rik,0
1700028D13Rik,0
1700028E10Rik,9
1700028I16Rik,4
1700028J19Rik,21
1700028K03Rik,148
1700028M03Rik,0
1700028P14Rik,0
1700028P15Rik,0
1700029B22Rik,0
1700029F12Rik,0
1700029H14Rik,2
1700029I15Rik,16
1700029J03Rik,0
1700029J07Rik,215
1700029M03Rik,0
1700029M20Rik,80
1700029N11Rik,39
1700029P11Rik,2
1700030A11Rik,0
1700030C10Rik,0
1700030C14Rik,0
1700030E10Rik,0
1700030F04Rik,0
1700030F18Rik,2
1700030J22Rik,59
1700030K09Rik,725
1700030L20Rik,0
1700030L22Rik,4
1700030M09Rik,0
1700030N03Rik,0
1700030O20Rik,13
1700031A10Rik,0
1700031F05Rik,0
1700031L13Rik,0
1700031M16Rik,0
1700031P21Rik,0
1700034B16Rik,0
1700034E13Rik,0
1700034G24Rik,0
1700034H15Rik,34
1700034I23Rik,3
1700034J05Rik,0
1700034K08Rik,0
1700034O15Rik,0
1700034P13Rik,31
1700036G14Rik,0
1700037C18Rik,369
1700037H04Rik,1708
1700039E15Rik,0
1700039E22Rik,0
1700039I01Rik,1
1700039M10Rik,24
1700040D17Rik,0
1700040F15Rik,0
1700040L02Rik,151
1700041A01Rik,8
1700041B01Rik,0
1700041C23Rik,0
1700041M19Rik,0
1700042B14Rik,0
1700042G07Rik,0
1700042G15Rik,0
1700042O10Rik,4
1700044C05Rik,0
1700044K03Rik,0
1700045H11Rik,0
1700046C09Rik,0
1700047A11Rik,3
1700047E10Rik,15
1700047G03Rik,0
1700047I17Rik2,11
1700047L14Rik,0
1700047M11Rik,0
1700048B10Rik,0
1700048F04Rik,0
1700048M11Rik,15
1700048O14Rik,0
1700048O20Rik,1209
1700049E15Rik,0
1700049E17Rik1,0
1700049E17Rik2,0
1700049E22Rik,0
1700049G17Rik,127
1700049J03Rik,5
1700049L16Rik,0
1700051A21Rik,0
1700052H01Rik,0
1700052I22Rik,0
1700052K11Rik,74
1700052N19Rik,1782
1700054A03Rik,0
1700054K19Rik,0
1700054M17Rik,2
1700054O19Rik,0
1700055C04Rik,0
1700055D18Rik,24
1700055N04Rik,2
1700056E22Rik,33
1700057G04Rik,2
1700057H15Rik,0
1700057H21Rik,0
1700058M13Rik,0
1700060C16Rik,0
1700060C20Rik,0
1700060L04Rik,0
1700060O08Rik,0
1700061F12Rik,0
1700061G19Rik,68
1700061I17Rik,0
1700061J23Rik,1
1700062C10Rik,0
1700063A18Rik,0
1700063D05Rik,7
1700063H04Rik,2
1700063O14Rik,0
1700064F23Rik,0
1700064J06Rik,0
1700064M15Rik,5
1700065D16Rik,8
1700065I16Rik,0
1700065J11Rik,0
1700065J18Rik,0
1700065L07Rik,0
1700065O20Rik,0
1700066B17Rik,0
1700066B19Rik,39
1700066C05Rik,0
1700066J03Rik,0
1700066M21Rik,735
1700066N21Rik,0
1700066O22Rik,0
1700067G17Rik,0
1700067K01Rik,77
1700067P10Rik,0
1700069L16Rik,0
1700069P05Rik,0
1700071G01Rik,0
1700071K01Rik,0
1700071M16Rik,0
1700072B07Rik,0
1700072I22Rik,0
1700072O05Rik,0
1700073E17Rik,0
1700074H08Rik,0
1700074P13Rik,0
1700080E11Rik,0
1700080G11Rik,2
1700080G18Rik,46
1700080N15Rik,0
1700080O16Rik,0
1700081B01Rik,0
1700081H04Rik,0
1700083H02Rik,0
1700084C01Rik,0
1700084D21Rik,0
1700084E18Rik,6
1700084F23Rik,0
1700084J12Rik,0
1700084M14Rik,0
1700085C21Rik,0
1700086D15Rik,0
1700086L19Rik,0
1700086O06Rik,200
1700086P04Rik,6
1700087I21Rik,65
1700087M22Rik,0
1700088E04Rik,9
1700091H14Rik,0
1700092C02Rik,1
1700092C10Rik,0
1700092E19Rik,0
1700092K14Rik,0
1700092M07Rik,34
1700093K21Rik,2
1700094D03Rik,129
1700094J05Rik,0
1700094M23Rik,0
1700094M24Rik,0
1700095A13Rik,0
1700095A21Rik,0
1700095B10Rik,0
1700095J12Rik,2
1700096J18Rik,17
1700096K18Rik,15
1700096P03Rik,0
1700097N02Rik,0
1700099I09Rik,55
1700100I10Rik,0
1700100L14Rik,0
1700101E01Rik,65
1700101G07Rik,0
1700101I11Rik,4
1700101O22Rik,0
1700102H20Rik,15
1700102J08Rik,0
1700102P08Rik,20
1700104L18Rik,0
1700105P06Rik,1
1700106J16Rik,0
1700108F19Rik,0
1700108J01Rik,0
1700108N06Rik,0
1700109G14Rik,2
1700109G15Rik,0
1700109H08Rik,63
1700109I08Rik,0
1700109K24Rik,0
1700110C19Rik,0
1700110I01Rik,0
1700110I07Rik,0
1700110K17Rik,0
1700111N16Rik,0
1700112D23Rik,0
1700112E06Rik,0
1700112H04Rik,0
1700112H15Rik,2
1700112J05Rik,1
1700112J16Rik,1
1700112K13Rik,0
1700112N08Rik,2
1700113A16Rik,20
1700113B09Rik,0
1700113H08Rik,0
1700116B05Rik,0
1700116H05Rik,0
1700119H24Rik,0
1700120C14Rik,3
1700120E14Rik,0
1700120G07Rik,0
1700120K04Rik,61
1700121L16Rik,0
1700121N20Rik,0
1700122C19Rik,1
1700122E12Rik,14
1700122H20Rik,0
1700122O11Rik,0
1700123I01Rik,0
1700123J17Rik,0
1700123K08Rik,0
1700123L14Rik,0
1700123M08Rik,65
1700123O12Rik,0
1700123O20Rik,3687
1700123O21Rik,0
1700124L16Rik,7
1700124M09Rik,0
1700125G02Rik,0
1700125G22Rik,0
1700125H03Rik,3
1700125H20Rik,6
1700126H18Rik,0
1700128A07Rik,0
1700128E19Rik,0
1700128F08Rik,0
1700129C05Rik,0
1810006J02Rik,0
1810007C17Rik,0
1810007D17Rik,2
1810008I18Rik,0
1810009A15Rik,20
1810009J06Rik,0
1810010D01Rik,0
1810010H24Rik,33
1810010K12Rik,0
1810011H11Rik,40
1810011O10Rik,0
1810012K08Rik,28
1810012K16Rik,4
1810013A23Rik,0
1810013D15Rik,4
1810013L24Rik,5378
1810014B01Rik,971
1810018F18Rik,0
1810019D21Rik,2
1810019N24Rik,3
1810020O05Rik,0
1810021B22Rik,42
1810022K09Rik,546
1810024B03Rik,29
1810026B05Rik,768
1810026J23Rik,5310
1810030O07Rik,3559
1810032O08Rik,1774
1810034E14Rik,59
1810035K13Rik,0
1810037I17Rik,979
1810041H14Rik,17
1810041L15Rik,0
1810043G02Rik,260
1810043H04Rik,620
1810044D09Rik,221
1810046K07Rik,27934
1810049I09Rik,0
1810053B23Rik,0
1810055G02Rik,1243
1810058I24Rik,1741
1810062G17Rik,87
1810062O18Rik,19
1810063I02Rik,0
1810064F22Rik,0
1810065E05Rik,0
1810073O08Rik,7
2010001A14Rik,72
2010001E11Rik,0
2010001M07Rik,0
2010002M12Rik,3
2010003K11Rik,2
2010005H15Rik,2
2010009K17Rik,3
2010010A06Rik,0
2010012O05Rik,681
2010016I18Rik,14
2010106C02Rik,0
2010106E10Rik,0
2010107E04Rik,2562
2010107G12Rik,27
2010107G23Rik,0
2010109A12Rik,26
2010109I03Rik,41
