gene_id,Satrom-mRNA-30mT_CGATGT_L004_001
0610005C13Rik,50
0610006L08Rik,0
0610007P14Rik,2946
0610009B22Rik,1056
0610009E02Rik,6
0610009L18Rik,20
0610009O20Rik,1645
0610010B08Rik,0
0610010F05Rik,3974
0610010K14Rik,0
0610011F06Rik,765
0610012G03Rik,855
0610025J13Rik,0
0610030E20Rik,0
0610031O16Rik,0
0610037L13Rik,1066
0610038B21Rik,0
0610039H22Rik,170
0610039K10Rik,81
0610040B10Rik,121
0610040F04Rik,10
0610040J01Rik,0
0610043K17Rik,0
1010001N08Rik,0
1100001I12Rik,0
1110001J03Rik,497
1110002J07Rik,80
1110002L01Rik,222
1110002O04Rik,0
1110004E09Rik,2016
1110004F10Rik,5046
1110006O24Rik,8
1110007C09Rik,297
1110008F13Rik,1448
1110008L16Rik,1866
1110008P14Rik,142
1110012L19Rik,590
1110015O18Rik,0
1110017D15Rik,0
1110018N20Rik,377
1110019D14Rik,80
1110020A21Rik,17
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,2
1110032A03Rik,308
1110032F04Rik,0
1110034G24Rik,246
1110036E04Rik,2
1110037F02Rik,8523
1110038B12Rik,0
1110038F14Rik,1214
1110046J04Rik,0
1110051M20Rik,1546
1110054M08Rik,0
1110057K04Rik,2738
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,401
1110059E24Rik,2183
1110059G10Rik,909
1110065P20Rik,166
1190002F15Rik,597
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,61
1190007I07Rik,602
1190028D05Rik,0
1200014J11Rik,7
1300002E11Rik,662
1300017J02Rik,8
1500002F19Rik,2
1500004A13Rik,205
1500009C09Rik,1
1500009L16Rik,28
1500011B03Rik,469
1500011K16Rik,405
1500012F01Rik,5628
1500012K07Rik,4
1500015A07Rik,164
1500015L24Rik,0
1500015O10Rik,0
1500017E21Rik,0
1500026H17Rik,2
1500035N22Rik,2
1520401A03Rik,24
1600002D24Rik,8
1600002H07Rik,675
1600002K03Rik,294
1600010M07Rik,16
1600012H06Rik,193
1600014C10Rik,866
1600014C23Rik,0
1600014K23Rik,0
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,487
1600023N17Rik,2
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,6
1600029O15Rik,4
1700001C02Rik,0
1700001C19Rik,0
1700001D01Rik,3
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,92
1700001G17Rik,4
1700001J03Rik,2
1700001J11Rik,0
1700001K19Rik,20
1700001K23Rik,0
1700001L05Rik,68
1700001L19Rik,0
1700001O22Rik,4
1700001P01Rik,10
1700003C15Rik,0
1700003D09Rik,0
1700003E16Rik,14
1700003E24Rik,0
1700003F12Rik,3
1700003G13Rik,0
1700003G18Rik,2
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,1
1700003M07Rik,1
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,3
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,0
1700007F19Rik,0
1700007G11Rik,0
1700007J10Rik,3
1700007K09Rik,8
1700007K13Rik,0
1700007L15Rik,309
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,9
1700008I05Rik,8
1700008J07Rik,23
1700008K24Rik,0
1700008O03Rik,33
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,0
1700010D01Rik,0
1700010H22Rik,2
1700010I02Rik,0
1700010I14Rik,41
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,0
1700010N08Rik,1
1700011A15Rik,0
1700011B04Rik,0
1700011C11Rik,0
1700011E24Rik,3
1700011H14Rik,12
1700011I03Rik,0
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,1
1700012B09Rik,0
1700012C14Rik,0
1700012D01Rik,41
1700012D14Rik,43
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,0
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,114
1700013G24Rik,0
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,0
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,0
1700016C19Rik,0
1700016D06Rik,0
1700016G14Rik,0
1700016G22Rik,2
1700016H13Rik,0
1700016J18Rik,8
1700016K19Rik,45
1700016L04Rik,8
1700016L21Rik,1
1700016P04Rik,0
1700017B05Rik,11617
1700017D01Rik,0
1700017G19Rik,0
1700017J07Rik,0
1700017L05Rik,0
1700017M07Rik,2
1700017N19Rik,0
1700018A04Rik,0
1700018A23Rik,2
1700018B08Rik,1
1700018B24Rik,0
1700018C11Rik,0
1700018F24Rik,0
1700018G05Rik,0
1700018L02Rik,0
1700019A02Rik,1
1700019B03Rik,0
1700019B21Rik,0
1700019C18Rik,0
1700019D03Rik,702
1700019E08Rik,0
1700019F05Rik,0
1700019G17Rik,45
1700019G24Rik,0
1700019J19Rik,6
1700019L03Rik,42
1700019L22Rik,0
1700019M22Rik,0
1700019N19Rik,35
1700019O17Rik,0
1700019P21Rik,0
1700020A23Rik,11
1700020D05Rik,5
1700020D12Rik,0
1700020D14Rik,0
1700020G17Rik,0
1700020I14Rik,2374
1700020L24Rik,10
1700020M21Rik,0
1700020N01Rik,0
1700020N15Rik,0
1700020N18Rik,0
1700021F02Rik,0
1700021F05Rik,1386
1700021F07Rik,0
1700021G15Rik,0
1700021K19Rik,2905
1700021L23Rik,0
1700021N21Rik,0
1700022A21Rik,0
1700022A22Rik,0
1700022E09Rik,0
1700022H01Rik,0
1700022H16Rik,0
1700022I11Rik,4
1700022N22Rik,96
1700023C21Rik,0
1700023E05Rik,10
1700023F02Rik,0
1700023F06Rik,0
1700023G09Rik,0
1700023L04Rik,21
1700024B05Rik,0
1700024B18Rik,0
1700024F13Rik,30
1700024G13Rik,0
1700024I08Rik,2
1700024N05Rik,0
1700024P04Rik,0
1700024P16Rik,0
1700025B11Rik,0
1700025C18Rik,0
1700025D23Rik,0
1700025F22Rik,0
1700025F24Rik,0
1700025G04Rik,20
1700025J12Rik,0
1700025K24Rik,0
1700025M24Rik,0
1700025N23Rik,0
1700026D08Rik,2
1700026D11Rik,1
1700026F02Rik,0
1700026J12Rik,1
1700026J14Rik,0
1700026L06Rik,207
1700027A15Rik,0
1700027F06Rik,0
1700027F09Rik,0
1700027H10Rik,0
1700027I24Rik,4
1700027J07Rik,144
1700028B04Rik,0
1700028D13Rik,0
1700028E10Rik,6
1700028I16Rik,0
1700028J19Rik,14
1700028K03Rik,63
1700028M03Rik,0
1700028P14Rik,0
1700028P15Rik,0
1700029B22Rik,0
1700029F12Rik,0
1700029H14Rik,0
1700029I15Rik,13
1700029J03Rik,0
1700029J07Rik,270
1700029M03Rik,0
1700029M20Rik,135
1700029N11Rik,35
1700029P11Rik,2
1700030A11Rik,0
1700030C10Rik,0
1700030C14Rik,0
1700030E10Rik,0
1700030F04Rik,0
1700030F18Rik,8
1700030J22Rik,40
1700030K09Rik,986
1700030L20Rik,1
1700030L22Rik,2
1700030M09Rik,0
1700030N03Rik,1
1700030O20Rik,10
1700031A10Rik,0
1700031F05Rik,0
1700031L13Rik,0
1700031M16Rik,0
1700031P21Rik,0
1700034B16Rik,0
1700034E13Rik,0
1700034G24Rik,0
1700034H15Rik,17
1700034I23Rik,0
1700034J05Rik,0
1700034K08Rik,0
1700034O15Rik,0
1700034P13Rik,35
1700036G14Rik,0
1700037C18Rik,344
1700037H04Rik,1418
1700039E15Rik,0
1700039E22Rik,0
1700039I01Rik,0
1700039M10Rik,11
1700040D17Rik,0
1700040F15Rik,0
1700040L02Rik,129
1700041A01Rik,8
1700041B01Rik,0
1700041C23Rik,0
1700041M19Rik,0
1700042B14Rik,0
1700042G07Rik,0
1700042G15Rik,1
1700042O10Rik,0
1700044C05Rik,0
1700044K03Rik,0
1700045H11Rik,0
1700046C09Rik,0
1700047A11Rik,0
1700047E10Rik,13
1700047G03Rik,0
1700047I17Rik2,8
1700047L14Rik,0
1700047M11Rik,0
1700048B10Rik,0
1700048F04Rik,0
1700048M11Rik,1
1700048O14Rik,0
1700048O20Rik,753
1700049E15Rik,0
1700049E17Rik1,0
1700049E17Rik2,0
1700049E22Rik,0
1700049G17Rik,225
1700049J03Rik,3
1700049L16Rik,0
1700051A21Rik,0
1700052H01Rik,0
1700052I22Rik,0
1700052K11Rik,73
1700052N19Rik,1974
1700054A03Rik,0
1700054K19Rik,0
1700054M17Rik,6
1700054O19Rik,0
1700055C04Rik,0
1700055D18Rik,30
1700055N04Rik,0
1700056E22Rik,27
1700057G04Rik,5
1700057H15Rik,0
1700057H21Rik,0
1700058M13Rik,2
1700060C16Rik,0
1700060C20Rik,0
1700060L04Rik,0
1700060O08Rik,0
1700061F12Rik,0
1700061G19Rik,77
1700061I17Rik,0
1700061J23Rik,0
1700062C10Rik,1
1700063A18Rik,0
1700063D05Rik,2
1700063H04Rik,0
1700063O14Rik,0
1700064F23Rik,0
1700064J06Rik,0
1700064M15Rik,2
1700065D16Rik,7
1700065I16Rik,0
1700065J11Rik,0
1700065J18Rik,0
1700065L07Rik,0
1700065O20Rik,0
1700066B17Rik,0
1700066B19Rik,21
1700066C05Rik,0
1700066J03Rik,0
1700066M21Rik,512
1700066N21Rik,0
1700066O22Rik,2
1700067G17Rik,0
1700067K01Rik,38
1700067P10Rik,0
1700069L16Rik,0
1700069P05Rik,0
1700071G01Rik,0
1700071K01Rik,0
1700071M16Rik,0
1700072B07Rik,0
1700072I22Rik,0
1700072O05Rik,0
1700073E17Rik,0
1700074H08Rik,0
1700074P13Rik,0
1700080E11Rik,0
1700080G11Rik,5
1700080G18Rik,20
1700080N15Rik,0
1700080O16Rik,0
1700081B01Rik,0
1700081H04Rik,0
1700083H02Rik,0
1700084C01Rik,0
1700084D21Rik,0
1700084E18Rik,6
1700084F23Rik,0
1700084J12Rik,0
1700084M14Rik,0
1700085C21Rik,0
1700086D15Rik,0
1700086L19Rik,0
1700086O06Rik,184
1700086P04Rik,5
1700087I21Rik,87
1700087M22Rik,0
1700088E04Rik,7
1700091H14Rik,0
1700092C02Rik,0
1700092C10Rik,0
1700092E19Rik,0
1700092K14Rik,0
1700092M07Rik,12
1700093K21Rik,0
1700094D03Rik,156
1700094J05Rik,2
1700094M23Rik,0
1700094M24Rik,0
1700095A13Rik,0
1700095A21Rik,0
1700095B10Rik,0
1700095J12Rik,0
1700096J18Rik,6
1700096K18Rik,40
1700096P03Rik,0
1700097N02Rik,0
1700099I09Rik,7
1700100I10Rik,0
1700100L14Rik,0
1700101E01Rik,88
1700101G07Rik,0
1700101I11Rik,5
1700101O22Rik,0
1700102H20Rik,12
1700102J08Rik,0
1700102P08Rik,29
1700104L18Rik,0
1700105P06Rik,0
1700106J16Rik,0
1700108F19Rik,0
1700108J01Rik,0
1700108N06Rik,0
1700109G14Rik,0
1700109G15Rik,0
1700109H08Rik,93
1700109I08Rik,0
1700109K24Rik,0
1700110C19Rik,0
1700110I01Rik,0
1700110I07Rik,0
1700110K17Rik,7
1700111N16Rik,0
1700112D23Rik,0
1700112E06Rik,0
1700112H04Rik,0
1700112H15Rik,0
1700112J05Rik,2
1700112J16Rik,1
1700112K13Rik,0
1700112N08Rik,3
1700113A16Rik,21
1700113B09Rik,0
1700113H08Rik,0
1700116B05Rik,0
1700116H05Rik,0
1700119H24Rik,0
1700120C14Rik,1
1700120E14Rik,0
1700120G07Rik,0
1700120K04Rik,47
1700121L16Rik,0
1700121N20Rik,0
1700122C19Rik,0
1700122E12Rik,10
1700122H20Rik,2
1700122O11Rik,0
1700123I01Rik,0
1700123J17Rik,0
1700123K08Rik,1
1700123L14Rik,0
1700123M08Rik,48
1700123O12Rik,0
1700123O20Rik,3389
1700123O21Rik,0
1700124L16Rik,5
1700124M09Rik,0
1700125G02Rik,0
1700125G22Rik,0
1700125H03Rik,4
1700125H20Rik,8
1700126H18Rik,0
1700128A07Rik,0
1700128E19Rik,0
1700128F08Rik,0
1700129C05Rik,1
1810006J02Rik,0
1810007C17Rik,0
1810007D17Rik,4
1810008I18Rik,0
1810009A15Rik,11
1810009J06Rik,0
1810010D01Rik,2
1810010H24Rik,76
1810010K12Rik,0
1810011H11Rik,101
1810011O10Rik,0
1810012K08Rik,11
1810012K16Rik,3
1810013A23Rik,0
1810013D15Rik,5
1810013L24Rik,6375
1810014B01Rik,1081
1810018F18Rik,0
1810019D21Rik,3
1810019N24Rik,1
1810020O05Rik,8
1810021B22Rik,52
1810022K09Rik,399
1810024B03Rik,29
1810026B05Rik,368
1810026J23Rik,3995
1810030O07Rik,2793
1810032O08Rik,1765
1810034E14Rik,90
1810035K13Rik,0
1810037I17Rik,797
1810041H14Rik,29
1810041L15Rik,0
1810043G02Rik,204
1810043H04Rik,427
1810044D09Rik,192
1810046K07Rik,22782
1810049I09Rik,0
1810053B23Rik,0
1810055G02Rik,704
1810058I24Rik,1367
1810062G17Rik,106
1810062O18Rik,18
1810063I02Rik,0
1810064F22Rik,0
1810065E05Rik,0
1810073O08Rik,14
2010001A14Rik,119
2010001E11Rik,0
2010001M07Rik,0
2010002M12Rik,0
2010003K11Rik,0
2010005H15Rik,2
2010009K17Rik,1
2010010A06Rik,0
2010012O05Rik,412
2010016I18Rik,20
2010106C02Rik,2
2010106E10Rik,0
2010107E04Rik,2019
2010107G12Rik,40
2010107G23Rik,0
2010109A12Rik,22
2010109I03Rik,70
2010110K18Rik,34
2010111I01Rik,305
2010203P06Rik,0
2010204K13Rik,292
2010300C02Rik,10
2010300F17Rik,0
2010308F09Rik,1
2010310C07Rik,0
2010315B03Rik,0
2010320M18Rik,132
2010320O07Rik,0
2200002D01Rik,5
2200002J24Rik,98
2210008F06Rik,0
2210010C04Rik,0
2210011C24Rik,0
2210011K15Rik,0
2210013O21Rik,0
2210015D19Rik,547
2210016F16Rik,48
2210016L21Rik,900
2210018M11Rik,2629
2210019I11Rik,0
2210039B01Rik,0
2210404E10Rik,0
2210404O09Rik,0
2210406O10Rik,23
2210407C18Rik,0
2210408F21Rik,48
2210408I21Rik,396
2210409D07Rik,0
2210409E12Rik,0
2210414B05Rik,17
2210416O15Rik,0
2210417A02Rik,66
2210420H20Rik,0
2300002M23Rik,0
2300003K06Rik,0
2300005B03Rik,0
2300009A05Rik,287
2310001H17Rik,154
2310001K24Rik,0
2310002D06Rik,0
2310002F09Rik,0
2310002L09Rik,0
2310003H01Rik,1235
2310003N18Rik,2
2310005A03Rik,2
2310005E17Rik,0
2310007B03Rik,2
2310007L24Rik,10
2310008N11Rik,0
2310009A05Rik,373
2310009B15Rik,96
2310010J17Rik,64
2310011J03Rik,1096
2310014F06Rik,0
2310014L17Rik,466
2310015A10Rik,501
2310015A16Rik,0
2310015B20Rik,1
2310015D24Rik,0
2310015K22Rik,0
2310016D03Rik,0
2310016D23Rik,11
2310016G11Rik,0
2310020H05Rik,0
2310022A10Rik,2687
2310022B05Rik,1769
2310026I22Rik,7
2310030A07Rik,0
2310030G06Rik,0
2310033P09Rik,730
2310034C09Rik,0
2310034G01Rik,30
2310034O05Rik,3
2310034P14Rik,3
2310035C23Rik,2759
2310036O22Rik,1833
2310039H08Rik,377
2310039L15Rik,4
2310040G24Rik,2
2310043L19Rik,0
2310043O21Rik,0
2310045N01Rik,798
2310047D07Rik,20
2310047M10Rik,480
2310050C09Rik,0
2310057J18Rik,0
2310057M21Rik,1818
2310057N15Rik,0
2310061I04Rik,223
2310061J03Rik,2
2310061N02Rik,0
2310065F04Rik,8
2310067B10Rik,2022
2310067E19Rik,0
2310068J16Rik,11
2310069B03Rik,0
2310069G16Rik,0
2310075C17Rik,0
2310075K07Rik,92
2310079G19Rik,0
2310081J21Rik,0
2400006E01Rik,0
2410002F23Rik,2952
2410003L11Rik,1
2410004B18Rik,2391
2410004I01Rik,6
2410004N09Rik,677
2410004P03Rik,0
2410006H16Rik,6346
2410007B07Rik,0
2410012E07Rik,51
2410012M07Rik,0
2410015M20Rik,1885
2410016O06Rik,886
2410017I17Rik,0
2410018L13Rik,0
2410019O14Rik,250
2410021H03Rik,0
2410022M11Rik,75
2410088K16Rik,2
2410089E03Rik,3048
2410114N07Rik,0
2410124H12Rik,2
2410127L17Rik,859
2410131K14Rik,1066
2410137M14Rik,0
2410141K09Rik,0
2500002B13Rik,141
2500004C02Rik,113
2510002D24Rik,1
2510003B16Rik,2
2510003E04Rik,2154
2510009E07Rik,6
2510039O18Rik,908
2610001J05Rik,1355
2610002J02Rik,839
2610002M06Rik,1428
2610005L07Rik,501
2610008E11Rik,614
2610015P09Rik,1461
2610016A17Rik,0
2610020C07Rik,127
2610020H08Rik,461
2610027F03Rik,0
2610027K06Rik,3
2610028E06Rik,0
2610028H24Rik,0
2610034B18Rik,0
2610035D17Rik,643
2610035F20Rik,59
2610036A22Rik,617
2610037D02Rik,475
2610042L04Rik,0
2610044O15Rik8,279
2610100L16Rik,0
2610203C20Rik,0
2610203C22Rik,0
2610206C17Rik,6
2610300M13Rik,0
2610301B20Rik,1791
2610305D13Rik,203
2610306M01Rik,62
2610307P16Rik,0
2610316D01Rik,0
2610318N02Rik,730
2610507B11Rik,10705
2610507I01Rik,522
2610524H06Rik,931
2610528A11Rik,2
2610528J11Rik,0
2700012I20Rik,41
2700029M09Rik,4260
2700038G22Rik,447
2700046A07Rik,0
2700046G09Rik,22
2700049A03Rik,1722
2700054A10Rik,40
2700060E02Rik,5906
2700062C07Rik,1190
2700068H02Rik,0
2700069I18Rik,0
2700070H01Rik,0
2700081O15Rik,3518
2700089E24Rik,3566
2700089I24Rik,0
2700094K13Rik,2087
2700097O09Rik,276
2700099C18Rik,399
2810001G20Rik,174
2810002D19Rik,376
2810004N23Rik,4752
2810006K23Rik,690
2810007J24Rik,0
2810008D09Rik,163
2810013P06Rik,158
2810021J22Rik,328
2810025M15Rik,2283
2810029C07Rik,46
2810030D12Rik,0
2810032G03Rik,0
2810039B14Rik,64
2810047C21Rik1,0
2810049E08Rik,2
2810403A07Rik,3637
2810403D21Rik,230
2810404M03Rik,0
2810405F15Rik,0
2810407A14Rik,0
2810408A11Rik,0
2810408B13Rik,5
2810408I11Rik,316
2810408M09Rik,571
2810410L24Rik,0
2810416G20Rik,69
2810417H13Rik,3865
2810428I15Rik,498
2810429I04Rik,228
2810433D01Rik,0
2810442N19Rik,48
2810454H06Rik,0
2810459M11Rik,2
2810468N07Rik,0
2810471M01Rik,0
2810474O19Rik,0
2900005J15Rik,14
2900008C10Rik,24
2900009J06Rik,3
2900011O08Rik,0
2900026A02Rik,2202
2900040C04Rik,0
2900041M22Rik,11
2900052N01Rik,0
2900055J20Rik,0
2900057B20Rik,0
2900060B14Rik,10
2900076A07Rik,56
2900079G21Rik,0
2900089D17Rik,372
2900092C05Rik,0
2900092D14Rik,0
2900097C17Rik,8488
3000002C10Rik,77
3010001F23Rik,0
3010003L21Rik,2
3010026O09Rik,1404
3010033K07Rik,0
3100003L05Rik,0
3110001I22Rik,668
3110002H16Rik,940
3110007F17Rik,9
3110009E18Rik,71
3110009F21Rik,0
3110009M11Rik,0
3110015C05Rik,0
3110021A11Rik,0
3110021N24Rik,0
3110035E14Rik,0
3110039I08Rik,0
3110039M20Rik,0
3110040M04Rik,0
3110040N11Rik,1080
3110043O21Rik,1462
3110045C21Rik,57
3110052M02Rik,162
3110053B16Rik,0
3110056K07Rik,108
3110057O12Rik,538
3110062M04Rik,170
3110070M22Rik,26
3110079O15Rik,9
3110082I17Rik,1921
3110082J24Rik,0
3110099E03Rik,0
3200001D21Rik,0
3300002A11Rik,0
3300002I08Rik,131
3300002P13Rik,0
3300005D01Rik,256
3425401B19Rik,2377
3632451O06Rik,0
3632454L22Rik,11
3830403N18Rik,2249
3830406C13Rik,676
3830408C21Rik,64
3830417A13Rik,0
3830432H09Rik,10
3930402G23Rik,0
4430402I18Rik,6
4631405J19Rik,2
4631405K08Rik,0
4632404H12Rik,89
4632415L05Rik,697
4632427E13Rik,9
4632428C04Rik,2
4632428N05Rik,1030
4732414G09Rik,0
4732416N19Rik,0
4732419C18Rik,47
4732440D04Rik,38
4732456N10Rik,0
4732465J04Rik,0
4732471J01Rik,15
4732490B19Rik,0
4732491K20Rik,58
4831407H17Rik,21
4831440D22Rik,0
4831440E17Rik,17
4833403I15Rik,0
4833411C07Rik,0
4833412C05Rik,0
4833415N18Rik,0
4833417C18Rik,54
4833418N02Rik,9
4833419F23Rik,88
4833420G17Rik,1638
4833422C13Rik,5
4833422M21Rik,0
4833423E24Rik,0
4833427F10Rik,0
4833427G06Rik,0
4833428L15Rik,2
4833438C02Rik,68
4833439L19Rik,1971
4833447I15Rik,39
4833447P13Rik,30
4921501E09Rik,0
4921504A21Rik,0
4921504E06Rik,0
4921506M07Rik,0
4921507G05Rik,2
4921507L20Rik,19
4921507P07Rik,0
4921508D12Rik,0
4921509C19Rik,0
4921509O07Rik,2
4921511C10Rik,2
4921511C20Rik,0
4921511H03Rik,0
4921511I17Rik,7
4921511M17Rik,0
4921513H07Rik,0
4921513I03Rik,0
4921515E04Rik,0
4921517D16Rik,9
4921517D22Rik,0
4921518K17Rik,0
4921524J17Rik,779
4921524L21Rik,0
4921525O09Rik,5
4921528I07Rik,1
4921529L05Rik,0
4921530L21Rik,0
4921531C22Rik,70
4921531P14Rik,0
4921533I20Rik,0
4921534H16Rik,0
4921536K21Rik,90
4921539E11Rik,0
4921539H07Rik,0
4922502D21Rik,58
4922502H24Rik,0
4922502N22Rik,0
4930401C15Rik,0
4930401G09Rik,4
4930401O10Rik,0
4930401O12Rik,0
4930402D18Rik,0
4930402F06Rik,0
4930402F11Rik,0
4930402H24Rik,669
4930402K13Rik,0
4930403D09Rik,0
4930404A05Rik,0
4930404H11Rik,0
4930404H24Rik,7
4930404I05Rik,26
4930404I20Rik,0
4930404K13Rik,0
4930404N11Rik,0
4930405A10Rik,0
4930405A21Rik,9
4930405D01Rik,0
4930405D11Rik,0
4930405J17Rik,0
4930405L22Rik,0
4930405O22Rik,1
4930406D18Rik,1
4930407G08Rik,0
4930407I02Rik,0
4930407I10Rik,56
4930407I19Rik,0
4930412B13Rik,0
4930412C18Rik,0
4930412D23Rik,0
4930412E21Rik,4
4930412L05Rik,17
4930412O13Rik,0
4930413E15Rik,0
4930413F20Rik,0
4930413G21Rik,751
4930413M19Rik,0
4930414F18Rik,0
4930414L22Rik,0
4930414N06Rik,0
4930415F15Rik,13
4930415L06Rik,0
4930415O20Rik,0
4930417H01Rik,0
4930417O13Rik,1
4930417O22Rik,0
4930419G24Rik,0
4930421P05Rik,0
4930421P07Rik,0
4930423D24Rik,0
4930423M02Rik,0
4930425K10Rik,0
4930425L21Rik,0
