gene_id,Satrom-mRNA-3hT_GCCAAT_L004_001
0610005C13Rik,15
0610006L08Rik,0
0610007P14Rik,3365
0610009B22Rik,625
0610009E02Rik,14
0610009L18Rik,21
0610009O20Rik,1144
0610010B08Rik,0
0610010F05Rik,3764
0610010K14Rik,0
0610011F06Rik,628
0610012G03Rik,890
0610025J13Rik,0
0610030E20Rik,1
0610031O16Rik,0
0610037L13Rik,1227
0610038B21Rik,0
0610039H22Rik,79
0610039K10Rik,49
0610040B10Rik,66
0610040F04Rik,4
0610040J01Rik,0
0610043K17Rik,0
1010001N08Rik,0
1100001I12Rik,0
1110001J03Rik,529
1110002J07Rik,37
1110002L01Rik,162
1110002O04Rik,0
1110004E09Rik,2086
1110004F10Rik,5500
1110006O24Rik,16
1110007C09Rik,315
1110008F13Rik,1480
1110008L16Rik,1101
1110008P14Rik,199
1110012L19Rik,300
1110015O18Rik,0
1110017D15Rik,0
1110018N20Rik,229
1110019D14Rik,27
1110020A21Rik,2
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,0
1110032A03Rik,165
1110032F04Rik,0
1110034G24Rik,219
1110036E04Rik,0
1110037F02Rik,6626
1110038B12Rik,0
1110038F14Rik,1372
1110046J04Rik,7
1110051M20Rik,1020
1110054M08Rik,1
1110057K04Rik,2288
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,407
1110059E24Rik,1484
1110059G10Rik,670
1110065P20Rik,182
1190002F15Rik,411
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,59
1190007I07Rik,515
1190028D05Rik,0
1200014J11Rik,6
1300002E11Rik,524
1300017J02Rik,4
1500002F19Rik,4
1500004A13Rik,191
1500009C09Rik,0
1500009L16Rik,31
1500011B03Rik,486
1500011K16Rik,343
1500012F01Rik,3085
1500012K07Rik,0
1500015A07Rik,190
1500015L24Rik,0
1500015O10Rik,0
1500017E21Rik,0
1500026H17Rik,2
1500035N22Rik,0
1520401A03Rik,2
1600002D24Rik,8
1600002H07Rik,599
1600002K03Rik,332
1600010M07Rik,0
1600012H06Rik,472
1600014C10Rik,545
1600014C23Rik,0
1600014K23Rik,0
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,139
1600023N17Rik,3
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,0
1600029O15Rik,0
1700001C02Rik,0
1700001C19Rik,0
1700001D01Rik,4
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,38
1700001G17Rik,14
1700001J03Rik,2
1700001J11Rik,0
1700001K19Rik,37
1700001K23Rik,0
1700001L05Rik,122
1700001L19Rik,1
1700001O22Rik,3
1700001P01Rik,3
1700003C15Rik,0
1700003D09Rik,0
1700003E16Rik,30
1700003E24Rik,0
1700003F12Rik,3
1700003G13Rik,0
1700003G18Rik,0
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,0
1700003M07Rik,0
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,1
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,0
1700007F19Rik,0
1700007G11Rik,0
1700007J10Rik,2
1700007K09Rik,2
1700007K13Rik,0
1700007L15Rik,278
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,2
1700008I05Rik,0
1700008J07Rik,37
1700008K24Rik,0
1700008O03Rik,19
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,0
1700010D01Rik,0
1700010H22Rik,21
1700010I02Rik,0
1700010I14Rik,14
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,2
1700010N08Rik,0
1700011A15Rik,0
1700011B04Rik,0
1700011C11Rik,0
1700011E24Rik,1
1700011H14Rik,3
1700011I03Rik,0
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,0
1700012B09Rik,0
1700012C14Rik,0
1700012D01Rik,11
1700012D14Rik,11
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,0
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,66
1700013G24Rik,0
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,2
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,0
1700016C19Rik,0
1700016D06Rik,0
1700016G14Rik,9
1700016G22Rik,0
1700016H13Rik,0
1700016J18Rik,2
1700016K19Rik,24
1700016L04Rik,2
1700016L21Rik,2
1700016P04Rik,0
1700017B05Rik,3628
1700017D01Rik,0
1700017G19Rik,0
1700017J07Rik,2
1700017L05Rik,0
1700017M07Rik,0
1700017N19Rik,0
1700018A04Rik,0
1700018A23Rik,2
1700018B08Rik,1
1700018B24Rik,0
1700018C11Rik,0
1700018F24Rik,0
1700018G05Rik,0
1700018L02Rik,2
1700019A02Rik,0
1700019B03Rik,0
1700019B21Rik,0
1700019C18Rik,0
1700019D03Rik,332
1700019E08Rik,0
1700019F05Rik,0
1700019G17Rik,12
1700019G24Rik,0
1700019J19Rik,1
1700019L03Rik,35
1700019L22Rik,0
1700019M22Rik,0
1700019N19Rik,40
1700019O17Rik,0
1700019P21Rik,0
1700020A23Rik,1
1700020D05Rik,2
1700020D12Rik,0
1700020D14Rik,0
1700020G17Rik,0
1700020I14Rik,2669
1700020L24Rik,11
1700020M21Rik,0
1700020N01Rik,0
1700020N15Rik,0
1700020N18Rik,0
1700021F02Rik,0
1700021F05Rik,1432
1700021F07Rik,0
1700021G15Rik,0
1700021K19Rik,1758
1700021L23Rik,0
1700021N21Rik,0
1700022A21Rik,0
1700022A22Rik,0
1700022E09Rik,0
1700022H01Rik,3
1700022H16Rik,0
1700022I11Rik,2
1700022N22Rik,67
1700023C21Rik,0
1700023E05Rik,3
1700023F02Rik,0
1700023F06Rik,0
1700023G09Rik,0
1700023L04Rik,5
1700024B05Rik,0
1700024B18Rik,0
1700024F13Rik,19
1700024G13Rik,0
1700024I08Rik,2
1700024N05Rik,0
1700024P04Rik,0
1700024P16Rik,0
1700025B11Rik,0
1700025C18Rik,0
1700025D23Rik,0
1700025F22Rik,0
1700025F24Rik,0
1700025G04Rik,40
1700025J12Rik,0
1700025K24Rik,0
1700025M24Rik,0
1700025N23Rik,0
1700026D08Rik,4
1700026D11Rik,0
1700026F02Rik,0
1700026J12Rik,1
1700026J14Rik,0
1700026L06Rik,115
1700027A15Rik,0
1700027F06Rik,0
1700027F09Rik,0
1700027H10Rik,0
1700027I24Rik,1
1700027J07Rik,57
1700028B04Rik,0
1700028D13Rik,0
1700028E10Rik,7
1700028I16Rik,12
1700028J19Rik,14
1700028K03Rik,41
1700028M03Rik,0
1700028P14Rik,0
1700028P15Rik,0
1700029B22Rik,0
1700029F12Rik,1
1700029H14Rik,2
1700029I15Rik,3
1700029J03Rik,0
1700029J07Rik,85
1700029M03Rik,0
1700029M20Rik,41
1700029N11Rik,30
1700029P11Rik,2
1700030A11Rik,0
1700030C10Rik,0
1700030C14Rik,0
1700030E10Rik,0
1700030F04Rik,0
1700030F18Rik,6
1700030J22Rik,57
1700030K09Rik,522
1700030L20Rik,0
1700030L22Rik,6
1700030M09Rik,0
1700030N03Rik,0
1700030O20Rik,8
1700031A10Rik,0
1700031F05Rik,0
1700031L13Rik,0
1700031M16Rik,0
1700031P21Rik,0
1700034B16Rik,0
1700034E13Rik,0
1700034G24Rik,0
1700034H15Rik,7
1700034I23Rik,0
1700034J05Rik,0
1700034K08Rik,0
1700034O15Rik,0
1700034P13Rik,18
1700036G14Rik,0
1700037C18Rik,318
1700037H04Rik,1308
1700039E15Rik,0
1700039E22Rik,0
1700039I01Rik,0
1700039M10Rik,10
1700040D17Rik,0
1700040F15Rik,0
1700040L02Rik,110
1700041A01Rik,4
1700041B01Rik,0
1700041C23Rik,0
1700041M19Rik,0
1700042B14Rik,0
1700042G07Rik,0
1700042G15Rik,0
1700042O10Rik,0
1700044C05Rik,0
1700044K03Rik,0
1700045H11Rik,0
1700046C09Rik,0
1700047A11Rik,1
1700047E10Rik,20
1700047G03Rik,0
1700047I17Rik2,12
1700047L14Rik,0
1700047M11Rik,0
1700048B10Rik,0
1700048F04Rik,0
1700048M11Rik,4
1700048O14Rik,0
1700048O20Rik,624
1700049E15Rik,0
1700049E17Rik1,0
1700049E17Rik2,0
1700049E22Rik,0
1700049G17Rik,108
1700049J03Rik,0
1700049L16Rik,0
1700051A21Rik,0
1700052H01Rik,0
1700052I22Rik,0
1700052K11Rik,50
1700052N19Rik,1162
1700054A03Rik,0
1700054K19Rik,0
1700054M17Rik,0
1700054O19Rik,0
1700055C04Rik,0
1700055D18Rik,15
1700055N04Rik,0
1700056E22Rik,34
1700057G04Rik,0
1700057H15Rik,0
1700057H21Rik,0
1700058M13Rik,2
1700060C16Rik,0
1700060C20Rik,0
1700060L04Rik,0
1700060O08Rik,0
1700061F12Rik,0
1700061G19Rik,37
1700061I17Rik,0
1700061J23Rik,0
1700062C10Rik,0
1700063A18Rik,0
1700063D05Rik,3
1700063H04Rik,0
1700063O14Rik,0
1700064F23Rik,0
1700064J06Rik,0
1700064M15Rik,0
1700065D16Rik,10
1700065I16Rik,0
1700065J11Rik,0
1700065J18Rik,0
1700065L07Rik,0
1700065O20Rik,0
1700066B17Rik,0
1700066B19Rik,22
1700066C05Rik,0
1700066J03Rik,0
1700066M21Rik,557
1700066N21Rik,0
1700066O22Rik,0
1700067G17Rik,0
1700067K01Rik,15
1700067P10Rik,0
1700069L16Rik,0
1700069P05Rik,0
1700071G01Rik,0
1700071K01Rik,0
1700071M16Rik,0
1700072B07Rik,0
1700072I22Rik,0
1700072O05Rik,0
1700073E17Rik,0
1700074H08Rik,0
1700074P13Rik,0
1700080E11Rik,0
1700080G11Rik,6
1700080G18Rik,18
1700080N15Rik,0
1700080O16Rik,0
1700081B01Rik,0
1700081H04Rik,0
1700083H02Rik,0
1700084C01Rik,0
1700084D21Rik,0
1700084E18Rik,5
1700084F23Rik,0
1700084J12Rik,0
1700084M14Rik,0
1700085C21Rik,0
1700086D15Rik,0
1700086L19Rik,0
1700086O06Rik,94
1700086P04Rik,0
1700087I21Rik,45
1700087M22Rik,0
1700088E04Rik,4
1700091H14Rik,0
1700092C02Rik,0
1700092C10Rik,0
1700092E19Rik,0
1700092K14Rik,0
1700092M07Rik,20
1700093K21Rik,0
1700094D03Rik,48
1700094J05Rik,0
1700094M23Rik,0
1700094M24Rik,0
1700095A13Rik,0
1700095A21Rik,0
1700095B10Rik,0
1700095J12Rik,0
1700096J18Rik,12
1700096K18Rik,10
1700096P03Rik,0
1700097N02Rik,0
1700099I09Rik,14
1700100I10Rik,0
1700100L14Rik,0
1700101E01Rik,35
1700101G07Rik,0
1700101I11Rik,4
1700101O22Rik,0
1700102H20Rik,10
1700102J08Rik,0
1700102P08Rik,8
1700104L18Rik,0
1700105P06Rik,0
1700106J16Rik,0
1700108F19Rik,0
1700108J01Rik,0
1700108N06Rik,0
1700109G14Rik,0
1700109G15Rik,0
1700109H08Rik,23
1700109I08Rik,0
1700109K24Rik,0
1700110C19Rik,0
1700110I01Rik,0
1700110I07Rik,0
1700110K17Rik,0
1700111N16Rik,0
1700112D23Rik,0
1700112E06Rik,0
1700112H04Rik,0
1700112H15Rik,0
1700112J05Rik,0
1700112J16Rik,1
1700112K13Rik,0
1700112N08Rik,0
1700113A16Rik,18
1700113B09Rik,2
1700113H08Rik,0
1700116B05Rik,0
1700116H05Rik,0
1700119H24Rik,0
1700120C14Rik,2
1700120E14Rik,0
1700120G07Rik,0
1700120K04Rik,46
1700121L16Rik,0
1700121N20Rik,0
1700122C19Rik,2
1700122E12Rik,0
1700122H20Rik,0
1700122O11Rik,0
1700123I01Rik,0
1700123J17Rik,0
1700123K08Rik,0
1700123L14Rik,0
1700123M08Rik,62
1700123O12Rik,0
1700123O20Rik,3169
1700123O21Rik,0
1700124L16Rik,2
1700124M09Rik,0
1700125G02Rik,0
1700125G22Rik,2
1700125H03Rik,0
1700125H20Rik,2
1700126H18Rik,0
1700128A07Rik,0
1700128E19Rik,0
1700128F08Rik,0
1700129C05Rik,0
1810006J02Rik,0
1810007C17Rik,0
1810007D17Rik,2
1810008I18Rik,0
1810009A15Rik,12
1810009J06Rik,0
1810010D01Rik,0
1810010H24Rik,25
1810010K12Rik,0
1810011H11Rik,26
1810011O10Rik,0
1810012K08Rik,18
1810012K16Rik,6
1810013A23Rik,0
1810013D15Rik,6
1810013L24Rik,3255
1810014B01Rik,696
1810018F18Rik,0
1810019D21Rik,0
1810019N24Rik,0
1810020O05Rik,3
1810021B22Rik,29
1810022K09Rik,553
1810024B03Rik,14
1810026B05Rik,457
1810026J23Rik,3984
1810030O07Rik,2340
1810032O08Rik,1116
1810034E14Rik,32
1810035K13Rik,0
1810037I17Rik,848
1810041H14Rik,5
1810041L15Rik,0
1810043G02Rik,151
1810043H04Rik,531
1810044D09Rik,135
1810046K07Rik,14993
1810049I09Rik,0
1810053B23Rik,0
1810055G02Rik,1317
1810058I24Rik,1427
1810062G17Rik,53
1810062O18Rik,6
1810063I02Rik,0
1810064F22Rik,0
1810065E05Rik,0
1810073O08Rik,15
2010001A14Rik,77
2010001E11Rik,0
2010001M07Rik,0
2010002M12Rik,0
2010003K11Rik,0
2010005H15Rik,0
2010009K17Rik,0
2010010A06Rik,0
2010012O05Rik,544
2010016I18Rik,4
2010106C02Rik,0
2010106E10Rik,0
2010107E04Rik,2166
2010107G12Rik,9
2010107G23Rik,0
2010109A12Rik,13
2010109I03Rik,40
2010110K18Rik,30
2010111I01Rik,670
2010203P06Rik,2
2010204K13Rik,267
2010300C02Rik,2
2010300F17Rik,0
2010308F09Rik,1
2010310C07Rik,0
2010315B03Rik,0
2010320M18Rik,119
2010320O07Rik,0
2200002D01Rik,8
2200002J24Rik,55
2210008F06Rik,7
2210010C04Rik,0
2210011C24Rik,0
2210011K15Rik,0
2210013O21Rik,0
2210015D19Rik,456
2210016F16Rik,0
2210016L21Rik,1339
2210018M11Rik,2268
2210019I11Rik,0
2210039B01Rik,0
2210404E10Rik,0
2210404O09Rik,2
2210406O10Rik,5
2210407C18Rik,0
2210408F21Rik,22
2210408I21Rik,509
2210409D07Rik,0
2210409E12Rik,0
2210414B05Rik,5
2210416O15Rik,0
2210417A02Rik,37
2210420H20Rik,0
2300002M23Rik,0
2300003K06Rik,0
2300005B03Rik,2
2300009A05Rik,192
2310001H17Rik,50
2310001K24Rik,2
2310002D06Rik,0
2310002F09Rik,0
2310002L09Rik,0
2310003H01Rik,1391
2310003N18Rik,2
2310005A03Rik,0
2310005E17Rik,0
2310007B03Rik,6
2310007L24Rik,4
2310008N11Rik,0
2310009A05Rik,261
2310009B15Rik,99
2310010J17Rik,47
2310011J03Rik,1916
2310014F06Rik,0
2310014L17Rik,54
2310015A10Rik,591
2310015A16Rik,0
2310015B20Rik,0
2310015D24Rik,0
2310015K22Rik,0
2310016D03Rik,0
2310016D23Rik,0
2310016G11Rik,0
2310020H05Rik,0
2310022A10Rik,2450
2310022B05Rik,2131
2310026I22Rik,0
2310030A07Rik,0
2310030G06Rik,0
2310033P09Rik,1264
2310034C09Rik,0
2310034G01Rik,37
2310034O05Rik,2
2310034P14Rik,5
2310035C23Rik,1748
2310036O22Rik,2947
2310039H08Rik,332
2310039L15Rik,0
2310040G24Rik,4
2310043L19Rik,3
2310043O21Rik,0
2310045N01Rik,500
2310047D07Rik,9
2310047M10Rik,346
2310050C09Rik,0
2310057J18Rik,0
2310057M21Rik,1453
2310057N15Rik,0
2310061I04Rik,278
2310061J03Rik,1
2310061N02Rik,0
2310065F04Rik,0
2310067B10Rik,1221
2310067E19Rik,0
2310068J16Rik,6
2310069B03Rik,0
2310069G16Rik,0
2310075C17Rik,0
2310075K07Rik,58
2310079G19Rik,0
2310081J21Rik,0
2400006E01Rik,0
2410002F23Rik,4280
2410003L11Rik,0
2410004B18Rik,2346
2410004I01Rik,6
2410004N09Rik,593
2410004P03Rik,0
2410006H16Rik,2817
2410007B07Rik,0
2410012E07Rik,30
2410012M07Rik,0
2410015M20Rik,1790
2410016O06Rik,828
2410017I17Rik,0
2410018L13Rik,0
2410019O14Rik,224
2410021H03Rik,0
2410022M11Rik,102
2410088K16Rik,0
2410089E03Rik,2180
2410114N07Rik,0
2410124H12Rik,1
2410127L17Rik,1044
2410131K14Rik,1565
2410137M14Rik,0
2410141K09Rik,0
2500002B13Rik,95
2500004C02Rik,163
2510002D24Rik,0
2510003B16Rik,0
2510003E04Rik,1985
2510009E07Rik,0
2510039O18Rik,1106
2610001J05Rik,1242
2610002J02Rik,574
2610002M06Rik,1187
2610005L07Rik,502
2610008E11Rik,232
2610015P09Rik,247
2610016A17Rik,0
2610020C07Rik,60
2610020H08Rik,297
2610027F03Rik,0
2610027K06Rik,0
2610028E06Rik,0
2610028H24Rik,0
2610034B18Rik,3
2610035D17Rik,158
2610035F20Rik,15
2610036A22Rik,365
2610037D02Rik,190
2610042L04Rik,0
2610044O15Rik8,237
2610100L16Rik,0
2610203C20Rik,0
2610203C22Rik,0
2610206C17Rik,8
2610300M13Rik,0
2610301B20Rik,1288
2610305D13Rik,182
2610306M01Rik,73
2610307P16Rik,0
2610316D01Rik,0
2610318N02Rik,959
2610507B11Rik,15643
2610507I01Rik,357
2610524H06Rik,993
2610528A11Rik,3
2610528J11Rik,0
2700012I20Rik,9
2700029M09Rik,3841
2700038G22Rik,532
2700046A07Rik,0
2700046G09Rik,21
2700049A03Rik,514
2700054A10Rik,28
2700060E02Rik,6107
2700062C07Rik,1145
2700068H02Rik,0
2700069I18Rik,0
2700070H01Rik,0
2700081O15Rik,3179
2700089E24Rik,2957
2700089I24Rik,0
2700094K13Rik,2541
2700097O09Rik,301
2700099C18Rik,293
2810001G20Rik,173
2810002D19Rik,108
2810004N23Rik,3720
2810006K23Rik,572
2810007J24Rik,0
2810008D09Rik,362
2810013P06Rik,168
2810021J22Rik,332
2810025M15Rik,2138
2810029C07Rik,30
2810030D12Rik,0
2810032G03Rik,0
2810039B14Rik,31
2810047C21Rik1,0
2810049E08Rik,0
2810403A07Rik,3535
2810403D21Rik,110
2810404M03Rik,0
2810405F15Rik,0
2810407A14Rik,0
2810408A11Rik,0
2810408B13Rik,1
2810408I11Rik,282
2810408M09Rik,1628
2810410L24Rik,0
2810416G20Rik,141
2810417H13Rik,5550
2810428I15Rik,594
2810429I04Rik,298
2810433D01Rik,0
2810442N19Rik,9
2810454H06Rik,0
2810459M11Rik,2
2810468N07Rik,0
2810471M01Rik,0
2810474O19Rik,0
2900005J15Rik,49
2900008C10Rik,24
2900009J06Rik,0
2900011O08Rik,0
2900026A02Rik,1089
2900040C04Rik,0
2900041M22Rik,10
2900052N01Rik,0
2900055J20Rik,0
2900057B20Rik,0
2900060B14Rik,0
2900076A07Rik,60
2900079G21Rik,0
2900089D17Rik,168
2900092C05Rik,0
2900092D14Rik,0
2900097C17Rik,7752
3000002C10Rik,123
3010001F23Rik,0
3010003L21Rik,0
3010026O09Rik,779
3010033K07Rik,0
3100003L05Rik,0
3110001I22Rik,552
3110002H16Rik,974
3110007F17Rik,15
3110009E18Rik,52
3110009F21Rik,0
3110009M11Rik,0
3110015C05Rik,0
3110021A11Rik,0
3110021N24Rik,0
3110035E14Rik,0
3110039I08Rik,0
3110039M20Rik,0
3110040M04Rik,0
3110040N11Rik,856
3110043O21Rik,3465
3110045C21Rik,50
3110052M02Rik,138
3110053B16Rik,0
3110056K07Rik,180
3110057O12Rik,150
3110062M04Rik,110
3110070M22Rik,34
3110079O15Rik,1
3110082I17Rik,2357
3110082J24Rik,0
3110099E03Rik,0
3200001D21Rik,2
3300002A11Rik,0
3300002I08Rik,145
3300002P13Rik,0
3300005D01Rik,129
3425401B19Rik,493
3632451O06Rik,0
3632454L22Rik,4
3830403N18Rik,2577
3830406C13Rik,509
3830408C21Rik,31
3830417A13Rik,0
3830432H09Rik,4
3930402G23Rik,0
4430402I18Rik,6
4631405J19Rik,0
4631405K08Rik,0
4632404H12Rik,122
4632415L05Rik,951
4632427E13Rik,57
4632428C04Rik,0
4632428N05Rik,536
4732414G09Rik,0
4732416N19Rik,0
4732419C18Rik,23
4732440D04Rik,54
4732456N10Rik,0
4732465J04Rik,0
4732471J01Rik,15
4732490B19Rik,0
4732491K20Rik,30
4831407H17Rik,4
4831440D22Rik,0
4831440E17Rik,13
4833403I15Rik,0
4833411C07Rik,0
4833412C05Rik,0
4833415N18Rik,0
4833417C18Rik,27
4833418N02Rik,7
4833419F23Rik,32
4833420G17Rik,1352
4833422C13Rik,0
4833422M21Rik,3
4833423E24Rik,0
4833427F10Rik,0
4833427G06Rik,0
4833428L15Rik,0
4833438C02Rik,58
4833439L19Rik,3889
4833447I15Rik,29
4833447P13Rik,18
4921501E09Rik,0
4921504A21Rik,0
4921504E06Rik,0
4921506M07Rik,0
4921507G05Rik,0
4921507L20Rik,11
4921507P07Rik,0
4921508D12Rik,0
4921509C19Rik,0
4921509O07Rik,0
4921511C10Rik,0
4921511C20Rik,0
4921511H03Rik,0
4921511I17Rik,0
4921511M17Rik,0
4921513H07Rik,0
4921513I03Rik,0
4921515E04Rik,0
4921517D16Rik,2
4921517D22Rik,0
4921518K17Rik,0
4921524J17Rik,886
4921524L21Rik,0
4921525O09Rik,4
4921528I07Rik,1
4921529L05Rik,1
4921530L21Rik,0
4921531C22Rik,57
4921531P14Rik,0
4921533I20Rik,0
4921534H16Rik,0
4921536K21Rik,29
4921539E11Rik,0
4921539H07Rik,0
4922502D21Rik,19
4922502H24Rik,0
4922502N22Rik,0
4930401C15Rik,0
4930401G09Rik,32
4930401O10Rik,0
4930401O12Rik,0
4930402D18Rik,0
4930402F06Rik,0
4930402F11Rik,0
4930402H24Rik,300
4930402K13Rik,0
4930403D09Rik,0
4930404A05Rik,0
4930404H11Rik,1
4930404H24Rik,2
4930404I05Rik,14
4930404I20Rik,0
4930404K13Rik,0
4930404N11Rik,0
4930405A10Rik,0
4930405A21Rik,17
4930405D01Rik,0
4930405D11Rik,0
4930405J17Rik,0
4930405L22Rik,0
4930405O22Rik,7
4930406D18Rik,0
4930407G08Rik,0
4930407I02Rik,0
4930407I10Rik,58
4930407I19Rik,0
4930412B13Rik,0
4930412C18Rik,0
4930412D23Rik,0
4930412E21Rik,0
4930412L05Rik,4
4930412O13Rik,2
4930413E15Rik,0
4930413F20Rik,0
4930413G21Rik,590
4930413M19Rik,0
4930414F18Rik,0
4930414L22Rik,0
4930414N06Rik,0
4930415F15Rik,22
4930415L06Rik,0
4930415O20Rik,0
4930417H01Rik,2
4930417O13Rik,0
4930417O22Rik,0
4930419G24Rik,0
4930421P05Rik,0
4930421P07Rik,0
4930423D24Rik,0
4930423M02Rik,0
4930425K10Rik,0
4930425L21Rik,0
4930425O10Rik,0
4930426D05Rik,120
4930426I24Rik,19
4930426L09Rik,10
4930427A07Rik,511
4930428D18Rik,0
4930428D20Rik,0
4930428E07Rik,0
4930428G15Rik,0
4930428N03Rik,0
4930428O21Rik,19
4930429B21Rik,16
4930429D17Rik,0
