gene_id,Satrom-mRNA-48hC_GCCAAT_L003_001
0610005C13Rik,63
0610006L08Rik,0
0610007P14Rik,4612
0610009B22Rik,767
0610009E02Rik,15
0610009L18Rik,19
0610009O20Rik,2134
0610010B08Rik,0
0610010F05Rik,4694
0610010K14Rik,0
0610011F06Rik,975
0610012G03Rik,1075
0610025J13Rik,0
0610030E20Rik,3
0610031O16Rik,0
0610037L13Rik,1083
0610038B21Rik,3
0610039H22Rik,167
0610039K10Rik,63
0610040B10Rik,90
0610040F04Rik,6
0610040J01Rik,2
0610043K17Rik,0
1010001N08Rik,0
1100001I12Rik,0
1110001J03Rik,756
1110002J07Rik,128
1110002L01Rik,696
1110002O04Rik,0
1110004E09Rik,2356
1110004F10Rik,7118
1110006O24Rik,21
1110007C09Rik,186
1110008F13Rik,1876
1110008L16Rik,1537
1110008P14Rik,201
1110012L19Rik,415
1110015O18Rik,0
1110017D15Rik,2
1110018N20Rik,536
1110019D14Rik,134
1110020A21Rik,17
1110025L11Rik,0
1110028F11Rik,1
1110028F18Rik,0
1110032A03Rik,319
1110032F04Rik,0
1110034G24Rik,223
1110036E04Rik,5
1110037F02Rik,8306
1110038B12Rik,0
1110038F14Rik,1003
1110046J04Rik,4
1110051M20Rik,1442
1110054M08Rik,0
1110057K04Rik,2706
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,356
1110059E24Rik,3539
1110059G10Rik,760
1110065P20Rik,129
1190002F15Rik,1427
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,58
1190007I07Rik,533
1190028D05Rik,0
1200014J11Rik,9
1300002E11Rik,945
1300017J02Rik,5
1500002F19Rik,0
1500004A13Rik,274
1500009C09Rik,1
1500009L16Rik,47
1500011B03Rik,708
1500011K16Rik,331
1500012F01Rik,4247
1500012K07Rik,0
1500015A07Rik,373
1500015L24Rik,0
1500015O10Rik,5
1500017E21Rik,0
1500026H17Rik,0
1500035N22Rik,6
1520401A03Rik,20
1600002D24Rik,11
1600002H07Rik,851
1600002K03Rik,379
1600010M07Rik,13
1600012H06Rik,221
1600014C10Rik,783
