gene_id,Satrom-mRNA-48hT_TTAGGC_L004_001
0610005C13Rik,28
0610006L08Rik,0
0610007P14Rik,5329
0610009B22Rik,885
0610009E02Rik,12
0610009L18Rik,36
0610009O20Rik,1976
0610010B08Rik,1
0610010F05Rik,3765
0610010K14Rik,0
0610011F06Rik,1288
0610012G03Rik,1009
0610025J13Rik,0
0610030E20Rik,2
0610031O16Rik,0
0610037L13Rik,1088
0610038B21Rik,0
0610039H22Rik,106
0610039K10Rik,51
0610040B10Rik,77
0610040F04Rik,12
0610040J01Rik,0
0610043K17Rik,0
1010001N08Rik,0
1100001I12Rik,0
1110001J03Rik,750
1110002J07Rik,323
1110002L01Rik,461
1110002O04Rik,0
1110004E09Rik,3085
1110004F10Rik,7209
1110006O24Rik,20
1110007C09Rik,236
1110008F13Rik,1880
1110008L16Rik,1677
1110008P14Rik,184
1110012L19Rik,548
1110015O18Rik,0
1110017D15Rik,6
1110018N20Rik,379
1110019D14Rik,85
1110020A21Rik,6
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,0
1110032A03Rik,218
1110032F04Rik,0
1110034G24Rik,244
1110036E04Rik,10
1110037F02Rik,8148
1110038B12Rik,0
1110038F14Rik,800
1110046J04Rik,6
1110051M20Rik,1173
1110054M08Rik,3
1110057K04Rik,2361
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,267
1110059E24Rik,2522
1110059G10Rik,736
1110065P20Rik,161
1190002F15Rik,1172
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,166
1190007I07Rik,504
1190028D05Rik,0
1200014J11Rik,18
1300002E11Rik,721
1300017J02Rik,13
1500002F19Rik,3
1500004A13Rik,166
1500009C09Rik,6
1500009L16Rik,156
1500011B03Rik,689
1500011K16Rik,368
1500012F01Rik,4035
1500012K07Rik,0
1500015A07Rik,217
1500015L24Rik,0
1500015O10Rik,5
1500017E21Rik,2
1500026H17Rik,2
1500035N22Rik,0
1520401A03Rik,14
1600002D24Rik,12
1600002H07Rik,689
1600002K03Rik,470
1600010M07Rik,0
1600012H06Rik,296
1600014C10Rik,824
1600014C23Rik,10
1600014K23Rik,1
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,148
1600023N17Rik,12
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,0
1600029O15Rik,1
1700001C02Rik,0
1700001C19Rik,0
1700001D01Rik,9
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,108
1700001G17Rik,9
1700001J03Rik,4
1700001J11Rik,1
1700001K19Rik,10
1700001K23Rik,1
1700001L05Rik,62
1700001L19Rik,0
1700001O22Rik,9
1700001P01Rik,5
1700003C15Rik,0
1700003D09Rik,0
1700003E16Rik,8
1700003E24Rik,0
1700003F12Rik,10
1700003G13Rik,0
1700003G18Rik,1
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,1
1700003M02Rik,0
1700003M07Rik,0
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,1
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,2
1700007F19Rik,0
1700007G11Rik,0
1700007J10Rik,0
1700007K09Rik,3
1700007K13Rik,0
1700007L15Rik,262
