,sample,group,replicate,timepoint
Satrom_mRNA_0hC_ATCACG_L001_001,Satrom_mRNA_0hC_ATCACG_L001_001,Control,C_1,7.5
Satrom_mRNA_15mC_TTAGGC_L001_001,Satrom_mRNA_15mC_TTAGGC_L001_001,Control,C_2,7.5
Satrom_mRNA_30mC_ACTTGA_L003_001,Satrom_mRNA_30mC_ACTTGA_L003_001,Control,C_1,45
Satrom_mRNA_1hC_GATCAG_L001_001,Satrom_mRNA_1hC_GATCAG_L001_001,Control,C_2,45
Satrom_mRNA_2hC_TAGCTT_L002_001,Satrom_mRNA_2hC_TAGCTT_L002_001,Control,C_1,150
Satrom_mRNA_3hC_GGCTAC_L003_001,Satrom_mRNA_3hC_GGCTAC_L003_001,Control,C_2,150
Satrom_mRNA_6hC_CGATGT_L003_001,Satrom_mRNA_6hC_CGATGT_L003_001,Control,C_1,540
Satrom_mRNA_12hC_TGACCA_L001_001,Satrom_mRNA_12hC_TGACCA_L001_001,Control,C_2,540
Satrom_mRNA_24hC_ACAGTG_L001_001,Satrom_mRNA_24hC_ACAGTG_L001_001,Control,C_1,2160
Satrom_mRNA_48hC_GCCAAT_L003_001,Satrom_mRNA_48hC_GCCAAT_L003_001,Control,C_2,2160
Satrom_mRNA_0hT_CAGATC_L002_001,Satrom_mRNA_0hT_CAGATC_L002_001,Treated,T_1,7.5
Satrom_mRNA_15mT_CTTGTA_L003_001,Satrom_mRNA_15mT_CTTGTA_L003_001,Treated,T_2,7.5
Satrom_mRNA_30mT_CGATGT_L004_001,Satrom_mRNA_30mT_CGATGT_L004_001,Treated,T_1,45
Satrom_mRNA_1hT_TGACCA_L002_001,Satrom_mRNA_1hT_TGACCA_L002_001,Treated,T_2,45
Satrom_mRNA_2hT_ACAGTG_L004_001,Satrom_mRNA_2hT_ACAGTG_L004_001,Treated,T_1,150
Satrom_mRNA_3hT_GCCAAT_L004_001,Satrom_mRNA_3hT_GCCAAT_L004_001,Treated,T_2,150
Satrom_mRNA_6hT_CAGATC_L004_001,Satrom_mRNA_6hT_CAGATC_L004_001,Treated,T_1,540
Satrom_mRNA_12hT_CTTGTA_L002_001,Satrom_mRNA_12hT_CTTGTA_L002_001,Treated,T_2,540
Satrom_mRNA_24hT_ATCACG_L002_001,Satrom_mRNA_24hT_ATCACG_L002_001,Treated,T_1,2160
Satrom_mRNA_48hT_TTAGGC_L004_001,Satrom_mRNA_48hT_TTAGGC_L004_001,Treated,T_2,2160
