gene_id,Satrom-mRNA-12hT_CTTGTA_L002_001
0610005C13Rik,31
0610006L08Rik,0
0610007P14Rik,5181
0610009B22Rik,692
0610009E02Rik,9
0610009L18Rik,23
0610009O20Rik,1560
0610010B08Rik,1
0610010F05Rik,4618
0610010K14Rik,0
0610011F06Rik,808
0610012G03Rik,1148
0610025J13Rik,0
0610030E20Rik,1
0610031O16Rik,0
0610037L13Rik,1023
0610038B21Rik,0
0610039H22Rik,27
0610039K10Rik,28
0610040B10Rik,44
0610040F04Rik,6
0610040J01Rik,0
0610043K17Rik,0
1010001N08Rik,0
1100001I12Rik,0
1110001J03Rik,475
1110002J07Rik,54
1110002L01Rik,531
1110002O04Rik,0
1110004E09Rik,2745
1110004F10Rik,7781
1110006O24Rik,8
1110007C09Rik,166
1110008F13Rik,1945
1110008L16Rik,1599
1110008P14Rik,150
1110012L19Rik,357
1110015O18Rik,0
1110017D15Rik,0
1110018N20Rik,307
1110019D14Rik,74
1110020A21Rik,20
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,1
1110032A03Rik,153
1110032F04Rik,0
1110034G24Rik,203
1110036E04Rik,0
1110037F02Rik,8312
1110038B12Rik,0
1110038F14Rik,1137
1110046J04Rik,4
1110051M20Rik,1085
1110054M08Rik,0
1110057K04Rik,2992
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,292
1110059E24Rik,2598
1110059G10Rik,706
1110065P20Rik,156
1190002F15Rik,803
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,45
1190007I07Rik,557
1190028D05Rik,0
1200014J11Rik,11
1300002E11Rik,474
1300017J02Rik,6
1500002F19Rik,2
1500004A13Rik,119
1500009C09Rik,0
1500009L16Rik,41
1500011B03Rik,553
1500011K16Rik,336
1500012F01Rik,4400
1500012K07Rik,0
1500015A07Rik,231
1500015L24Rik,0
1500015O10Rik,0
1500017E21Rik,0
1500026H17Rik,0
1500035N22Rik,0
1520401A03Rik,3
1600002D24Rik,2
1600002H07Rik,697
1600002K03Rik,475
1600010M07Rik,0
1600012H06Rik,428
1600014C10Rik,728
1600014C23Rik,0
1600014K23Rik,0
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,139
1600023N17Rik,23
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,0
1600029O15Rik,2
1700001C02Rik,0
1700001C19Rik,0
1700001D01Rik,2
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,56
1700001G17Rik,5
1700001J03Rik,0
1700001J11Rik,0
1700001K19Rik,10
1700001K23Rik,0
1700001L05Rik,40
1700001L19Rik,2
1700001O22Rik,0
1700001P01Rik,6
1700003C15Rik,0
1700003D09Rik,0
1700003E16Rik,17
1700003E24Rik,0
1700003F12Rik,5
1700003G13Rik,0
1700003G18Rik,4
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,2
1700003M07Rik,1
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,0
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,0
1700007F19Rik,0
1700007G11Rik,0
1700007J10Rik,4
1700007K09Rik,4
1700007K13Rik,1
1700007L15Rik,217
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,2
1700008I05Rik,0
1700008J07Rik,58
1700008K24Rik,0
1700008O03Rik,31
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,0
1700010D01Rik,0
1700010H22Rik,0
1700010I02Rik,0
1700010I14Rik,18
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,1
1700010N08Rik,0
1700011A15Rik,0
1700011B04Rik,0
1700011C11Rik,0
1700011E24Rik,0
1700011H14Rik,0
1700011I03Rik,0
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,2
1700012B09Rik,0
1700012C14Rik,0
1700012D01Rik,19
1700012D14Rik,15
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,0
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,8
1700013G24Rik,0
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,2
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,2
1700016C19Rik,0
1700016D06Rik,1
1700016G14Rik,13
1700016G22Rik,1
1700016H13Rik,0
1700016J18Rik,2
1700016K19Rik,25
1700016L04Rik,0
1700016L21Rik,11
1700016P04Rik,0
1700017B05Rik,2674
1700017D01Rik,0
1700017G19Rik,0
1700017J07Rik,0
1700017L05Rik,0
1700017M07Rik,2
1700017N19Rik,0
1700018A04Rik,0
1700018A23Rik,1
1700018B08Rik,12
1700018B24Rik,0
1700018C11Rik,0
1700018F24Rik,0
1700018G05Rik,0
1700018L02Rik,0
1700019A02Rik,6
1700019B03Rik,0
1700019B21Rik,0
1700019C18Rik,0
1700019D03Rik,121
1700019E08Rik,0
1700019F05Rik,0
1700019G17Rik,21
1700019G24Rik,0
1700019J19Rik,0
1700019L03Rik,40
1700019L22Rik,0
1700019M22Rik,0
1700019N19Rik,14
1700019O17Rik,2
1700019P21Rik,0
1700020A23Rik,8
1700020D05Rik,3
1700020D12Rik,0
1700020D14Rik,0
1700020G17Rik,0
1700020I14Rik,3636
1700020L24Rik,10
1700020M21Rik,0
1700020N01Rik,0
1700020N15Rik,0
1700020N18Rik,0
1700021F02Rik,0
1700021F05Rik,1309
1700021F07Rik,0
1700021G15Rik,0
1700021K19Rik,2523
1700021L23Rik,0
1700021N21Rik,0
1700022A21Rik,0
1700022A22Rik,0
1700022E09Rik,0
1700022H01Rik,0
1700022H16Rik,0
1700022I11Rik,3
1700022N22Rik,49
1700023C21Rik,0
1700023E05Rik,0
1700023F02Rik,0
1700023F06Rik,0
1700023G09Rik,2
1700023L04Rik,10
1700024B05Rik,0
1700024B18Rik,0
1700024F13Rik,45
1700024G13Rik,0
1700024I08Rik,0
1700024N05Rik,0
1700024P04Rik,0
1700024P16Rik,0
1700025B11Rik,2
1700025C18Rik,1
1700025D23Rik,0
1700025F22Rik,0
1700025F24Rik,0
1700025G04Rik,98
1700025J12Rik,0
1700025K24Rik,0
1700025M24Rik,1
1700025N23Rik,0
1700026D08Rik,0
1700026D11Rik,2
1700026F02Rik,0
1700026J12Rik,2
1700026J14Rik,0
1700026L06Rik,76
1700027A15Rik,0
1700027F06Rik,0
1700027F09Rik,0
1700027H10Rik,0
1700027I24Rik,1
1700027J07Rik,56
1700028B04Rik,0
1700028D13Rik,0
1700028E10Rik,29
1700028I16Rik,0
1700028J19Rik,16
1700028K03Rik,40
1700028M03Rik,0
1700028P14Rik,0
1700028P15Rik,0
1700029B22Rik,0
1700029F12Rik,0
1700029H14Rik,0
1700029I15Rik,9
1700029J03Rik,0
1700029J07Rik,78
1700029M03Rik,0
1700029M20Rik,51
1700029N11Rik,39
1700029P11Rik,0
1700030A11Rik,0
1700030C10Rik,0
1700030C14Rik,0
1700030E10Rik,0
1700030F04Rik,0
1700030F18Rik,8
1700030J22Rik,20
