gene_id,Satrom-mRNA-1hC_GATCAG_L001_001
0610005C13Rik,75
0610006L08Rik,0
0610007P14Rik,3251
0610009B22Rik,1100
0610009E02Rik,18
0610009L18Rik,14
0610009O20Rik,1796
0610010B08Rik,0
0610010F05Rik,4274
0610010K14Rik,0
0610011F06Rik,883
0610012G03Rik,1035
0610025J13Rik,0
0610030E20Rik,1
0610031O16Rik,0
0610037L13Rik,1376
0610038B21Rik,0
0610039H22Rik,132
0610039K10Rik,48
0610040B10Rik,121
0610040F04Rik,12
0610040J01Rik,4
0610043K17Rik,0
1010001N08Rik,4
1100001I12Rik,0
1110001J03Rik,699
1110002J07Rik,102
1110002L01Rik,251
1110002O04Rik,0
1110004E09Rik,2227
1110004F10Rik,5768
1110006O24Rik,10
1110007C09Rik,307
1110008F13Rik,1652
1110008L16Rik,2026
1110008P14Rik,215
1110012L19Rik,585
1110015O18Rik,0
1110017D15Rik,6
1110018N20Rik,453
1110019D14Rik,71
1110020A21Rik,5
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,0
1110032A03Rik,348
1110032F04Rik,0
1110034G24Rik,350
1110036E04Rik,1
1110037F02Rik,10142
1110038B12Rik,0
1110038F14Rik,1508
1110046J04Rik,4
1110051M20Rik,1829
1110054M08Rik,0
1110057K04Rik,3066
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,430
1110059E24Rik,2599
1110059G10Rik,926
1110065P20Rik,152
1190002F15Rik,608
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,58
1190007I07Rik,717
1190028D05Rik,0
1200014J11Rik,9
1300002E11Rik,696
1300017J02Rik,19
1500002F19Rik,0
1500004A13Rik,270
1500009C09Rik,2
1500009L16Rik,22
1500011B03Rik,580
1500011K16Rik,348
1500012F01Rik,5575
1500012K07Rik,0
1500015A07Rik,219
1500015L24Rik,0
1500015O10Rik,3
1500017E21Rik,0
1500026H17Rik,8
1500035N22Rik,0
1520401A03Rik,45
1600002D24Rik,17
1600002H07Rik,800
1600002K03Rik,376
1600010M07Rik,12
1600012H06Rik,381
1600014C10Rik,831
1600014C23Rik,0
1600014K23Rik,0
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,528
1600023N17Rik,4
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,0
1600029O15Rik,4
1700001C02Rik,0
1700001C19Rik,0
1700001D01Rik,4
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,131
1700001G17Rik,8
1700001J03Rik,3
1700001J11Rik,0
1700001K19Rik,31
1700001K23Rik,3
1700001L05Rik,115
1700001L19Rik,1
1700001O22Rik,4
1700001P01Rik,13
1700003C15Rik,0
1700003D09Rik,0
1700003E16Rik,24
1700003E24Rik,0
1700003F12Rik,8
1700003G13Rik,0
1700003G18Rik,0
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,3
1700003M07Rik,1
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,0
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,1
1700007F19Rik,0
1700007G11Rik,0
1700007J10Rik,1
1700007K09Rik,5
1700007K13Rik,0
1700007L15Rik,300
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,10
1700008I05Rik,4
1700008J07Rik,27
1700008K24Rik,0
1700008O03Rik,63
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,0
1700010D01Rik,0
1700010H22Rik,15
1700010I02Rik,0
1700010I14Rik,41
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,0
1700010N08Rik,0
1700011A15Rik,0
1700011B04Rik,0
1700011C11Rik,0
1700011E24Rik,2
1700011H14Rik,10
1700011I03Rik,1
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,0
1700012B09Rik,0
1700012C14Rik,0
1700012D01Rik,40
1700012D14Rik,34
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,0
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,91
1700013G24Rik,0
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,0
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,3
1700016C19Rik,0
1700016D06Rik,0
1700016G14Rik,7
1700016G22Rik,2
1700016H13Rik,0
1700016J18Rik,6
1700016K19Rik,54
1700016L04Rik,0
1700016L21Rik,9
1700016P04Rik,0
1700017B05Rik,10846
1700017D01Rik,0
1700017G19Rik,0
1700017J07Rik,2
1700017L05Rik,0
1700017M07Rik,1
1700017N19Rik,0
1700018A04Rik,0
1700018A23Rik,0
1700018B08Rik,2
1700018B24Rik,0
1700018C11Rik,2
1700018F24Rik,0
1700018G05Rik,0
1700018L02Rik,2
1700019A02Rik,6
1700019B03Rik,0
1700019B21Rik,0
1700019C18Rik,2
1700019D03Rik,706
1700019E08Rik,0
1700019F05Rik,0
1700019G17Rik,24
1700019G24Rik,0
1700019J19Rik,2
1700019L03Rik,39
1700019L22Rik,0
1700019M22Rik,0
1700019N19Rik,41
1700019O17Rik,0
1700019P21Rik,0
1700020A23Rik,20
1700020D05Rik,4
1700020D12Rik,0
1700020D14Rik,0
1700020G17Rik,1
1700020I14Rik,2842
1700020L24Rik,13
1700020M21Rik,0
1700020N01Rik,0
1700020N15Rik,0
1700020N18Rik,0
1700021F02Rik,0
1700021F05Rik,1679
1700021F07Rik,0
1700021G15Rik,0
1700021K19Rik,2778
1700021L23Rik,0
1700021N21Rik,0
1700022A21Rik,0
1700022A22Rik,0
1700022E09Rik,0
