gene_id,Satrom-mRNA-6hT_CAGATC_L004_001
0610005C13Rik,23
0610006L08Rik,0
0610007P14Rik,4792
0610009B22Rik,719
0610009E02Rik,6
0610009L18Rik,22
0610009O20Rik,1564
0610010B08Rik,1
0610010F05Rik,4662
0610010K14Rik,0
0610011F06Rik,798
0610012G03Rik,1437
0610025J13Rik,0
0610030E20Rik,2
0610031O16Rik,0
0610037L13Rik,1227
0610038B21Rik,0
0610039H22Rik,37
0610039K10Rik,34
0610040B10Rik,53
0610040F04Rik,2
0610040J01Rik,4
0610043K17Rik,0
1010001N08Rik,0
1100001I12Rik,0
1110001J03Rik,533
1110002J07Rik,39
1110002L01Rik,491
1110002O04Rik,0
1110004E09Rik,2590
1110004F10Rik,6511
1110006O24Rik,14
1110007C09Rik,219
1110008F13Rik,1706
1110008L16Rik,1384
1110008P14Rik,235
1110012L19Rik,305
1110015O18Rik,0
1110017D15Rik,0
1110018N20Rik,375
1110019D14Rik,76
1110020A21Rik,8
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,0
1110032A03Rik,157
1110032F04Rik,0
1110034G24Rik,291
1110036E04Rik,4
1110037F02Rik,6417
1110038B12Rik,0
1110038F14Rik,1381
1110046J04Rik,2
1110051M20Rik,986
1110054M08Rik,0
1110057K04Rik,2743
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,303
1110059E24Rik,1956
1110059G10Rik,776
1110065P20Rik,206
1190002F15Rik,519
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,46
1190007I07Rik,499
1190028D05Rik,0
1200014J11Rik,7
1300002E11Rik,610
1300017J02Rik,2
1500002F19Rik,1
1500004A13Rik,113
1500009C09Rik,0
1500009L16Rik,48
1500011B03Rik,581
1500011K16Rik,351
1500012F01Rik,3055
1500012K07Rik,0
1500015A07Rik,192
1500015L24Rik,0
1500015O10Rik,1
1500017E21Rik,0
1500026H17Rik,0
1500035N22Rik,0
1520401A03Rik,1
1600002D24Rik,4
1600002H07Rik,654
1600002K03Rik,463
1600010M07Rik,0
1600012H06Rik,460
1600014C10Rik,851
