"","cluster","cluster_col"
"GJB2","C1","#8DD3C7"
"SHANK2","C1","#8DD3C7"
"IL2RB","C1","#8DD3C7"
"LINC00884","C1","#8DD3C7"
"B4GALNT1","C1","#8DD3C7"
"ARNTL2","C1","#8DD3C7"
"SLC22A4","C1","#8DD3C7"
"CSF2","C1","#8DD3C7"
"CCL17","C1","#8DD3C7"
"WNT11","C1","#8DD3C7"
"ACTRT3","C1","#8DD3C7"
"GNA15","C1","#8DD3C7"
"GNAI1","C1","#8DD3C7"
"OSM","C1","#8DD3C7"
"HHIP-AS1","C1","#8DD3C7"
"LOC101928100","C1","#8DD3C7"
"VLDLR","C1","#8DD3C7"
"PPP1R14A","C1","#8DD3C7"
"HLX","C1","#8DD3C7"
"ARHGEF17","C1","#8DD3C7"
"VDR","C1","#8DD3C7"
"FOSL2","C1","#8DD3C7"
"ADGRD1","C1","#8DD3C7"
"CYP1A1","C1","#8DD3C7"
"NLGN4X","C1","#8DD3C7"
"ASCL1","C1","#8DD3C7"
"CCL22","C1","#8DD3C7"
"KCP","C1","#8DD3C7"
"IL17REL","C1","#8DD3C7"
"HPD","C10","#D5EFBA"
"LHX3","C10","#D5EFBA"
"NRG4","C10","#D5EFBA"
"C15orf27","C10","#D5EFBA"
"PLA2G2C","C10","#D5EFBA"
"NAALADL2-AS2","C10","#D5EFBA"
"LOR","C10","#D5EFBA"
"RASGRP4","C10","#D5EFBA"
"NMRK2","C10","#D5EFBA"
"TNFRSF4","C10","#D5EFBA"
"LINC00312","C10","#D5EFBA"
"RHOU","C10","#D5EFBA"
"CX3CL1","C10","#D5EFBA"
"P2RY2","C10","#D5EFBA"
"PADI2","C10","#D5EFBA"
"FEZ1","C10","#D5EFBA"
"CREB3L1","C10","#D5EFBA"
"FGFBP2","C10","#D5EFBA"
"VASH2","C10","#D5EFBA"
"CDHR1","C10","#D5EFBA"
"S100A14","C10","#D5EFBA"
"DUSP15","C10","#D5EFBA"
"CAV2","C10","#D5EFBA"
"TP73","C10","#D5EFBA"
"ATP8B1","C10","#D5EFBA"
"T","C10","#D5EFBA"
"VWA5B2","C10","#D5EFBA"
"MAB21L3","C10","#D5EFBA"
"MS4A6A","C10","#D5EFBA"
"CXCL9","C10","#D5EFBA"
"TNFSF11","C10","#D5EFBA"
"KIF26B","C10","#D5EFBA"
"LINC00589","C10","#D5EFBA"
"ITGA1","C11","#EDECBD"
"MIR548AC","C11","#EDECBD"
"PECAM1","C11","#EDECBD"
"NID2","C11","#EDECBD"
"LOC441081","C11","#EDECBD"
"RNASE6","C11","#EDECBD"
"ACSM1","C11","#EDECBD"
"FXYD7","C11","#EDECBD"
"C3AR1","C11","#EDECBD"
"EREG","C11","#EDECBD"
"FAM69B","C11","#EDECBD"
"MIR1910","C11","#EDECBD"
"BCL6B","C11","#EDECBD"
"LAMP5","C11","#EDECBD"
"MIR4496","C11","#EDECBD"
"DLEU7-AS1","C11","#EDECBD"
"EQTN","C11","#EDECBD"
"TMEM220-AS1","C11","#EDECBD"
"ANTXRLP1","C11","#EDECBD"
"LOC100287072","C11","#EDECBD"
"RASD1","C11","#EDECBD"
"SMAD6","C11","#EDECBD"
"OCM","C11","#EDECBD"
"ZMYND15","C11","#EDECBD"
"SNORD116-2","C11","#EDECBD"
"PCP2","C11","#EDECBD"
"LOC101930071","C11","#EDECBD"
"BAALC","C11","#EDECBD"
"LOC101927051","C11","#EDECBD"
"ARHGEF4","C11","#EDECBD"
"MTRNR2L2","C11","#EDECBD"
"SYNC","C11","#EDECBD"
"CTBP1-AS","C11","#EDECBD"
"MIR1282","C11","#EDECBD"
"LINC01033","C11","#EDECBD"
"UNQ6494","C11","#EDECBD"
"SFTPB","C11","#EDECBD"
"SHBG","C11","#EDECBD"
"TMEM184A","C11","#EDECBD"
"GRTP1","C11","#EDECBD"
"SCUBE3","C11","#EDECBD"
"MIR4525","C11","#EDECBD"
"GLYATL1","C11","#EDECBD"
"LINC00622","C11","#EDECBD"
"FKBP1AP1","C11","#EDECBD"
"ASB14","C11","#EDECBD"
"THRA1/BTR","C11","#EDECBD"
"OPA1-AS1","C11","#EDECBD"
"RBM12B-AS1","C11","#EDECBD"
"MIR1271","C11","#EDECBD"
"MIR4720","C11","#EDECBD"
"HBG1","C11","#EDECBD"
"FNDC9","C11","#EDECBD"
"PLAC4","C11","#EDECBD"
"HBA1","C11","#EDECBD"
"CHRNG","C11","#EDECBD"
"MTRNR2L3","C11","#EDECBD"
"CACNG4","C11","#EDECBD"
"HRASLS","C11","#EDECBD"
"CHRNA2","C11","#EDECBD"
"GNG13","C11","#EDECBD"
"CSDC2","C11","#EDECBD"
"FDPSP2","C11","#EDECBD"
"TTTY20","C11","#EDECBD"
"ADGRF2","C11","#EDECBD"
"CALHM3","C11","#EDECBD"
"NUCB1-AS1","C11","#EDECBD"
"UBE2Q1-AS1","C11","#EDECBD"
"ADGRB2","C11","#EDECBD"
"LOC100128593","C11","#EDECBD"
"MRVI1-AS1","C11","#EDECBD"
"LINC01340","C11","#EDECBD"
"LAMC3","C11","#EDECBD"
"ARC","C11","#EDECBD"
"GIMAP1","C11","#EDECBD"
"SLC6A12","C11","#EDECBD"
"MGC50722","C11","#EDECBD"
"ADAM12","C11","#EDECBD"
"DPEP2","C11","#EDECBD"
"TRABD2A","C11","#EDECBD"
"RAP1GAP2","C11","#EDECBD"
"CNTNAP2","C12","#C3C0D6"
"PRCD","C12","#C3C0D6"
"EPB41L4B","C12","#C3C0D6"
"PDE7B","C12","#C3C0D6"
"ABCG1","C12","#C3C0D6"
"APBB2","C12","#C3C0D6"
"BMP3","C12","#C3C0D6"
"CCL24","C12","#C3C0D6"
"SPRY1","C12","#C3C0D6"
"NSUN7","C12","#C3C0D6"
"ZBTB16","C12","#C3C0D6"
"ZNF521","C12","#C3C0D6"
"CORO2B","C12","#C3C0D6"
"KANK2","C12","#C3C0D6"
"ABCB1","C12","#C3C0D6"
"ABCA1","C12","#C3C0D6"
"GPR155","C12","#C3C0D6"
"GPR146","C12","#C3C0D6"
"SERPINB2","C12","#C3C0D6"
"CXCL5","C12","#C3C0D6"
"SPARC","C12","#C3C0D6"
"SLC47A1","C2","#DF9AA1"
"ADTRP","C2","#DF9AA1"
"CACNA1D","C2","#DF9AA1"
"MCM10","C2","#DF9AA1"
"GPR15","C2","#DF9AA1"
"TMPRSS3","C2","#DF9AA1"
"RHOV","C2","#DF9AA1"
"NLRP3","C2","#DF9AA1"
"CKB","C2","#DF9AA1"
"ADIRF","C2","#DF9AA1"
"CXCL10","C2","#DF9AA1"
"SERPIND1","C2","#DF9AA1"
"COL9A3","C2","#DF9AA1"
"MIR146A","C2","#DF9AA1"
"ZNF385C","C2","#DF9AA1"
"LOC101928766","C2","#DF9AA1"
"CRIP2","C2","#DF9AA1"
"FAM177B","C2","#DF9AA1"
"GRIN2A","C2","#DF9AA1"
"CACNA1B","C2","#DF9AA1"
"NTNG1","C2","#DF9AA1"
"ITGAD","C2","#DF9AA1"
"NT5C1A","C2","#DF9AA1"
"RARRES2","C2","#DF9AA1"
"CHDH","C2","#DF9AA1"
"MMRN1","C2","#DF9AA1"
"VAT1L","C3","#E48883"
"HPGD","C3","#E48883"
"SORBS2","C3","#E48883"
"HGF","C3","#E48883"
"HEY1","C3","#E48883"
"IFIT1","C3","#E48883"
"C1QC","C3","#E48883"
"COL24A1","C3","#E48883"
"CNRIP1","C3","#E48883"
"MRC1","C3","#E48883"
"C1QB","C3","#E48883"
"DCC","C3","#E48883"
"FN1","C3","#E48883"
"CCL18","C3","#E48883"
"CCL13","C3","#E48883"
"GNLY","C4","#96A8C1"
"PTGIS","C4","#96A8C1"
"IFNG","C4","#96A8C1"
"PENK","C4","#96A8C1"
"FLRT3","C4","#96A8C1"
"GZMA","C4","#96A8C1"
"CXCR6","C4","#96A8C1"
"NCR1","C4","#96A8C1"
"SRCIN1","C4","#96A8C1"
"SH2D1B","C4","#96A8C1"
"KLRD1","C4","#96A8C1"
"PTGDR","C4","#96A8C1"
"CD209","C4","#96A8C1"
"PTPRR","C4","#96A8C1"
"RUNDC3B","C4","#96A8C1"
"CXCL13","C4","#96A8C1"
"PPP2R2B","C4","#96A8C1"
"SLC1A1","C4","#96A8C1"
"LAMA4","C4","#96A8C1"
"CX3CR1","C4","#96A8C1"
"NCALD","C4","#96A8C1"
"THBD","C4","#96A8C1"
"PTPRT","C4","#96A8C1"
"EOMES","C4","#96A8C1"
"CFI","C4","#96A8C1"
"MMP12","C4","#96A8C1"
"RYR2","C4","#96A8C1"
"TREM1","C4","#96A8C1"
"PRL","C4","#96A8C1"
"LOC100506022","C4","#96A8C1"
"IL1R2","C4","#96A8C1"
"GFI1","C4","#96A8C1"
"DNAH7","C4","#96A8C1"
"KLRC4-KLRK1","C5","#B8B29F"
"FST","C5","#B8B29F"
"COLCA2","C5","#B8B29F"
"IL4I1","C5","#B8B29F"
"INSM1","C5","#B8B29F"
"HRH1","C5","#B8B29F"
"ENPP1","C5","#B8B29F"
"DUSP6","C5","#B8B29F"
"HMGN2P46","C5","#B8B29F"
"GCSAM","C5","#B8B29F"
"ZNRF1","C5","#B8B29F"
"SLC30A4","C5","#B8B29F"
"KIAA1462","C5","#B8B29F"
"FCER2","C5","#B8B29F"
"NFIL3","C5","#B8B29F"
"SOCS1","C5","#B8B29F"
"LINC00643","C5","#B8B29F"
"RAB3C","C5","#B8B29F"
"C18orf61","C5","#B8B29F"
"CTSLP2","C5","#B8B29F"
"LIX1","C5","#B8B29F"
"NPPA","C5","#B8B29F"
"LILRA1","C5","#B8B29F"
"CCR2","C5","#B8B29F"
"CLEC4A","C5","#B8B29F"
"QSOX1","C5","#B8B29F"
"FLJ23867","C5","#B8B29F"
"GAS6","C5","#B8B29F"
"SLC24A3","C5","#B8B29F"
"RRAGD","C5","#B8B29F"
"CISH","C5","#B8B29F"
"SLC37A3","C5","#B8B29F"
"GZMB","C5","#B8B29F"
"GZMH","C5","#B8B29F"
"GLDC","C5","#B8B29F"
"ZBED2","C5","#B8B29F"
"ALDH1A2","C5","#B8B29F"
"FFAR3","C5","#B8B29F"
"LRRC4","C5","#B8B29F"
"CARD10","C5","#B8B29F"
"CSRP2","C5","#B8B29F"
"SERHL2","C5","#B8B29F"
"F12","C5","#B8B29F"
"GUCA1A","C5","#B8B29F"
"LRP4-AS1","C5","#B8B29F"
"PPARG","C5","#B8B29F"
"LILRB2","C5","#B8B29F"
"KLRC4","C5","#B8B29F"
"HSPA12B","C5","#B8B29F"
"KIAA1549L","C5","#B8B29F"
"SHOX2","C5","#B8B29F"
"MIR532","C5","#B8B29F"
"CRISPLD1","C5","#B8B29F"
"NKG7","C5","#B8B29F"
"LOC101927482","C5","#B8B29F"
"EEPD1","C5","#B8B29F"
"RAB19","C5","#B8B29F"
"LMO2","C5","#B8B29F"
"RASL11A","C5","#B8B29F"
"CADM3","C5","#B8B29F"
"PALLD","C5","#B8B29F"
"CLCN5","C5","#B8B29F"
"B3GNT5","C5","#B8B29F"
"MAOA","C5","#B8B29F"
"SUCNR1","C5","#B8B29F"
"DHRS9","C5","#B8B29F"
"TSPAN7","C5","#B8B29F"
"SDC2","C5","#B8B29F"
"ZBTB8A","C5","#B8B29F"
"APCDD1","C5","#B8B29F"
"FAM132B","C5","#B8B29F"
"KLHL30","C5","#B8B29F"
"HECW2","C5","#B8B29F"
"MOB3C","C5","#B8B29F"
"GAS6-AS2","C5","#B8B29F"
"TMPRSS15","C5","#B8B29F"
"STYK1","C5","#B8B29F"
"SMAD1","C5","#B8B29F"
"BMP8A","C5","#B8B29F"
"SLC8A1","C5","#B8B29F"
"CHRDL1","C5","#B8B29F"
"CGNL1","C5","#B8B29F"
"RAB6B","C5","#B8B29F"
"ZNF488","C5","#B8B29F"
"GBA3","C5","#B8B29F"
"FAM171B","C5","#B8B29F"
"ADGRA3","C5","#B8B29F"
"CSMD1","C5","#B8B29F"
"MIR501","C5","#B8B29F"
"RGS9","C5","#B8B29F"
