"","s-42","s-43","s-44","s-82","s-83","s-84","s-52","s-53","s-54","s-92","s-93","s-94"
"VDR",-0.664250228286154,-0.521412523949176,-0.429349498852808,-0.65681802841712,-0.578766208792536,-0.536695505174243,1.51444348097097,-0.0920149892243321,-0.274396112410474,2.57199540515911,-0.153692121755705,-0.179043669267528
"CISH",-0.893823795581765,-0.881553038899293,-0.840454151037422,-0.904406244003828,-0.902456397502382,-0.890279258013016,0.191376083021787,1.08926617286085,0.643960567464657,0.480942245322787,1.76749744125843,1.13993037510919
"PECAM1",1.98536012958246,-0.332498427589818,0.259447678859172,0.87971833966187,-0.609270918157928,-0.696108243006581,-1.48115505647396,0.134746006398115,0.873233415835385,-1.47328454603934,0.229333290984617,0.230478329946015
"IL4I1",-1.0070620374189,-0.806755417878946,-0.893900028107059,-0.982160877999611,-0.898960235015981,-0.954985187611509,1.00045046095917,1.05043194842105,0.557365606199907,1.53979755049733,0.911323583518165,0.484454634436391
"APBB2",2.03088103532939,-0.128159585471347,-0.27836777041735,2.19047123984998,-0.150809913837075,-0.475864828406112,-0.639518040611146,-0.403656658447901,-0.488585289772206,-0.624738792280838,-0.49169024435488,-0.539961151580515
"FOSL2",-0.571525714125377,-0.605118277722148,-0.604722640175663,-0.510208819106445,-0.641729982345343,-0.635240249504186,1.36252015936292,-0.0026627995951535,-0.176935323346763,2.63010521028941,0.00170830865215252,-0.246189872383398
"ARNTL2",-0.904350220379866,-0.67141239486781,-0.658286650318276,-0.82873163313799,-0.585670114317554,-0.780065437520774,2.13817430959511,0.313999253587125,0.0467171743504532,1.72171846260583,0.0793315737172235,0.128575676686524
"C16orf74",1.17205433891908,0.536431136140888,1.87831455299237,1.26995292185139,0.0447087451664491,-0.226964583721945,-1.09419463153878,-0.257169804770483,-0.642289723474734,-1.11316496213446,-0.771697666759783,-0.795980322669979
"CNTNAP2",0.825806323993051,-0.233817877878777,-0.439521635138027,1.98269308392651,1.81920352897941,0.112416740873752,-0.777048581230995,-0.734140032877744,-0.705432496349692,-0.7454011970847,-0.625570391319274,-0.479187465893519
"SPRY1",1.68799413712129,-0.153245045287834,-0.450927059798494,2.47369186842446,-0.0451703973372168,-0.354380360595979,-0.598686780038639,-0.531532761216502,-0.520563122101178,-0.548148848386568,-0.528517733002614,-0.430513897780731
"IL2RB",-1.7057303156258,0.102863406977361,-0.666718159183236,-1.60220224811765,-0.186988017087415,-0.0678188985239147,1.77529909780771,0.579513946460787,0.728854190139599,1.00459683512187,0.0131232447913368,0.0252069172393522
"PDE7B",2.0887295393494,-0.093613228582351,-0.15054997816281,1.97248723804928,-0.0089953380565601,0.13590344080442,-0.861607043084005,-0.602901139178749,-0.488055619091811,-0.806009862962846,-0.581635512627902,-0.603752496456061
"DPEP2",2.16618659597776,-0.072236659580192,1.4673004897151,0.32891404387481,0.540510930970293,0.0172936440823788,-1.1242871552285,-0.564167726695899,-0.434640943745637,-1.11725299022385,-0.594753346500813,-0.612866882645451
"GPR155",0.902906483415314,-0.449547989362461,0.0568261636294332,2.82076397998331,0.221562892351933,-0.154333745939916,-0.615862562966265,-0.637362779819248,-0.466757548836401,-0.61748344636461,-0.566397448813959,-0.494313997277131
"ABCB1",0.858548070727022,-0.457237710561299,-0.0119788130765486,2.80440354563633,-0.128956859252316,-0.42392276742259,-0.870719863694156,-0.534823413247246,0.199833528431748,-0.816778021013823,-0.467657063861459,-0.150710632665666
"GZMB",-0.872648816079165,-0.855253827219637,-0.86713281114054,-0.872261864501482,-0.870369478899309,-0.864882979289618,0.448974007723074,1.68348701742086,1.13855768564263,0.29764802946571,1.42245709430081,0.21142594257667
"ABCG1",1.70210401042557,0.190948236193439,0.312959929796077,2.01580905220371,-0.364442935071239,0.616702108641094,-0.845139954199641,-0.651653160710088,-0.638172444344219,-0.899964649718555,-0.711827528300328,-0.727322664915813
"RNASE6",2.24876816959926,0.659668944411566,-0.449075185631867,0.731907095177663,1.01149116867046,0.0325386238099397,-1.05157473951907,-0.763916375001931,-0.685516321057073,-1.10367298048568,-0.60694666349549,-0.0236717364777687
"ARHGEF17",-0.487212984190466,-0.42400973018796,-0.355279704008318,-0.481814110966346,-0.453644156231767,-0.442459120368387,1.56003668636612,-0.407827271029343,-0.412301390103221,2.60837175644956,-0.379903393179464,-0.323956582550407
"ZBED2",-0.9854655741356,-0.241992595612596,-0.572765714885525,-1.01305509048185,-0.64389665708226,-0.681155453424392,-0.38468274733382,1.80145434743703,0.465104512652942,-0.380576712976175,1.82152323273628,0.815508453105973
"ADTRP",-1.41614492745375,-0.768300998585934,-0.14819533159099,-1.3886111631459,0.469662070263293,2.13469774972358,0.202217009095009,1.11738893560284,-0.123595710079703,-0.0725511929676544,0.424803495073756,-0.431369935934557
"ABCA1",1.41326423516663,-0.485459439228961,0.303257620242204,2.33586026033593,0.563112036662599,0.000442620026499895,-0.801763734215553,-0.791039525244929,-0.72432254566192,-0.670858355840871,-0.625105701393724,-0.517387470847904
"CXCL8",0.529619514278235,0.0761389576502099,2.99860395960328,-0.0652620448530122,-0.301168015491987,-0.12966382290044,-0.525048252837149,-0.518924381078312,-0.514170634101442,-0.518588860443922,-0.51784025062255,-0.51369616920291
"NSUN7",1.35868301510916,-0.373518598408654,-0.326424969157525,2.68850896908981,0.0480250638772033,-0.348802579350725,-0.544123742862026,-0.518811152074343,-0.512224938545371,-0.425097870098473,-0.534544787490041,-0.511668410089013
"ADAM12",2.48561420076722,0.651150865275271,0.591918211791593,0.762529648550138,0.10338706835601,-0.0851891366388229,-0.817617199957077,-0.802556963390826,-0.543151547792177,-0.800085131484564,-0.823776359276223,-0.722223656200541
"FAM69B",2.60158208100287,-0.161054705589898,0.417207488226928,0.859472750128185,0.377013337698839,-0.801946581889943,-1.01532180232722,-0.300026329254737,-0.0791180162702336,-0.978909242618435,-0.449095964837949,-0.469803014268402
"MEGF6",1.27753571190187,0.474747594122892,2.16583248591731,-0.189999462193275,0.833085048950105,-0.0525167793499594,-1.04251074155389,-0.662073474276652,-0.481640710814262,-1.10195382279132,-0.645827949862851,-0.574677900049955
"ZBTB16",2.5664336733286,-0.421179898640743,-0.355392315582688,1.56050435223653,0.00514958334519193,-0.268284882674844,-0.530306489214938,-0.550062786179418,-0.574441476169075,-0.420852687425279,-0.502880204861177,-0.508686868162162
"HLX",-0.816386606948213,-0.622734888141471,-0.678321408280829,-0.652179863863609,-0.746833821364502,-0.71797749493332,1.20197702270347,0.218946891562408,0.00262046579604038,2.54110288178933,0.153781603896645,0.116005217784047
"ZNF704",0.206772037892184,1.73279001448663,0.140569983425557,1.23441232902748,1.05080353088412,0.857672632093789,-0.931635470579235,-0.858357370084187,-0.86580166303197,-0.943966471438178,-0.746564670559567,-0.876694882116622
"CSF2",-0.479000892244367,-0.442950978371488,-0.420210117463014,-0.430885065918497,-0.453807457611101,-0.453810031898241,2.65826671199721,-0.319813126307591,-0.306203329345857,1.47994327308188,-0.385316225533841,-0.446212760385097
"KANK2",0.870933377905366,0.0867347258062201,0.211782283579735,2.37493139146413,0.636292460743173,0.395824552209313,-1.11321729974493,-0.574681724958017,-0.308865370932383,-1.11244768716251,-0.669062171047133,-0.79822453786296
"GFI1",-1.37628698467247,-0.449297352338163,-0.454593567015351,-1.32552787805692,-0.628796047834549,-0.339133944303059,0.229316942377433,0.960001315492529,1.86903330606321,-0.158492531296904,0.318944455594257,1.35483228598999
"CHDH",-1.27658286896221,0.95558244291211,0.808741380040184,-1.24690145994012,0.805935028916399,2.09550823291043,-0.297575850089968,0.171849671948754,-0.646707175409219,-0.534266498272535,-0.28208492147471,-0.553497982579123
"GPR146",0.99708920776171,-0.180624157288512,0.395132678743342,2.71249008182285,-0.0197563437728653,-0.178191149068056,-0.82269535305688,-0.520863045599351,-0.563505757566461,-0.801533827909839,-0.481421798390385,-0.536120535675554
"GZMH",-0.808718202585999,-0.789962731526744,-0.808718202585999,-0.808718202585999,-0.769396494150274,-0.78833125195158,0.159367177635462,1.87218480004329,0.994737200756933,-0.291045539803051,1.52813026468697,0.510471182066993
"CORO2B",1.06284564801572,-0.424592632266851,-0.61816112296551,2.56977039371789,0.63229701380348,-0.590743995825576,-0.848881058613065,-0.503441712506784,-0.617545937278617,-0.67567225847613,0.274841499334843,-0.2607158369394
"XIRP1",-0.731626465429751,-0.543000561608046,-0.680357443130024,-0.702254578982742,-0.594312961863152,-0.698674591969041,0.292723849118088,2.62321723536435,-0.0329743862943748,0.0167781243005703,1.1780772257911,-0.127595445296974
"BMP8A",-0.858638246903392,-0.731628948183889,-0.766581006458794,-0.822474122503309,-0.778753994509585,-0.748192295642509,-0.169046717295979,1.64507379054534,1.63064438404289,-0.221786974654447,1.22321775320519,0.59816637835849
