,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.049986628576846,2,1,1,1,0.5,CORUM:6529,CORUM,FLRT3-LPHN3 complex,3385,2204,CORUM:0000000
2,query_1,TRUE,5.00122706616107e-06,1742,16,11,0.6875,0.00631458094144661,GO:0006952,GO:BP,defense response,21092,2881,GO:0006950
3,query_1,TRUE,4.8028299938939e-05,2814,16,12,0.75,0.00426439232409382,GO:0009605,GO:BP,response to external stimulus,21092,3973,GO:0050896
4,query_1,TRUE,0.000252576021214373,1913,16,10,0.625,0.00522739153162572,GO:0006955,GO:BP,immune response,21092,2884,GO:0002376/GO:0050896
5,query_1,TRUE,0.000505698368249021,1513,16,9,0.5625,0.00594844679444812,GO:0051707,GO:BP,response to other organism,21092,16036,GO:0043207/GO:0044419
6,query_1,TRUE,0.000514328172441179,1516,16,9,0.5625,0.00593667546174142,GO:0043207,GO:BP,response to external biotic stimulus,21092,12178,GO:0009605/GO:0009607
7,query_1,TRUE,0.000635343199036352,1554,16,9,0.5625,0.00579150579150579,GO:0009607,GO:BP,response to biotic stimulus,21092,3975,GO:0050896
8,query_1,TRUE,0.00120235932794142,1675,16,9,0.5625,0.00537313432835821,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,21092,12763,GO:0008150
9,query_1,TRUE,0.00216717947962528,3938,16,12,0.75,0.00304723209751143,GO:0006950,GO:BP,response to stress,21092,2880,GO:0050896
10,query_1,TRUE,0.00560168275473996,620,16,6,0.375,0.00967741935483871,GO:0031347,GO:BP,regulation of defense response,21092,8272,GO:0006952/GO:0080134
11,query_1,TRUE,0.00866675574680344,48,16,3,0.1875,0.0625,GO:0002715,GO:BP,regulation of natural killer cell mediated immunity,21092,1354,GO:0002228/GO:0002706/GO:0045088
12,query_1,TRUE,0.0102136170516857,2842,16,10,0.625,0.00351864883884588,GO:0002376,GO:BP,immune system process,21092,1027,GO:0008150
13,query_1,TRUE,0.0128599154757574,182,16,4,0.25,0.021978021978022,GO:0001906,GO:BP,cell killing,21092,638,GO:0009987
14,query_1,TRUE,0.0160174418799882,1163,16,7,0.4375,0.0060189165950129,GO:0098542,GO:BP,defense response to other organism,21092,21964,GO:0006952/GO:0051707
15,query_1,TRUE,0.03209393663645,74,16,3,0.1875,0.0405405405405405,GO:0002228,GO:BP,natural killer cell mediated immunity,21092,882,GO:0002449/GO:0045087
16,query_1,TRUE,0.00189561545005384,123,13,4,0.307692307692308,0.032520325203252,KEGG:04650,KEGG,Natural killer cell mediated cytotoxicity,8064,318,KEGG:00000
17,query_1,TRUE,0.0236960809369895,88,11,3,0.272727272727273,0.0340909090909091,WP:WP2328,WP,Allograft rejection,7827,431,WP:000000
